KlassenindelingID	KlasseParent	KlasseChild
556	397	340
562	609	617
563	609	616
564	609	615
565	609	614
567	604	618
568	604	619
569	619	560
570	618	620
571	618	621
572	618	623
573	618	622
574	604	624
575	584	625
576	584	626
577	604	584
578	604	627
579	604	628
581	360	343
583	530	633
584	401	613
585	401	612
586	401	388
587	401	378
589	343	634
592	360	345
593	401	373
594	401	376
595	401	393
596	401	387
597	401	403
598	401	402
599	401	405
600	401	412
601	401	364
602	401	362
603	401	368
604	401	365
605	401	363
606	401	404
607	401	371
608	401	580
609	401	369
610	401	370
612	385	635
613	635	361
614	635	367
615	120	631
616	120	632
617	120	630
618	604	629
621	599	637
622	599	638
623	628	641
624	627	642
625	599	643
626	599	644
627	645	640
628	604	645
629	645	646
630	628	647
631	627	648
633	351	639
634	338	649
635	338	650
636	606	651
637	606	653
638	606	652
639	606	654
640	531	655
641	582	657
643	581	658
644	588	659
645	587	660
647	340	662
648	662	661
649	662	663
650	603	664
651	601	665
652	601	666
653	601	667
655	340	670
656	670	668
657	670	669
658	627	671
659	624	672
660	624	674
661	624	673
662	628	675
663	628	676
664	346	677
665	346	678
666	346	679
667	346	680
668	346	681
669	346	682
670	346	683
671	346	684
672	419	685
673	419	686
674	604	687
675	687	688
698	705	690
699	705	691
700	705	692
701	705	693
702	705	694
703	705	695
704	705	696
705	705	697
706	706	698
707	706	699
708	706	700
709	706	701
710	706	702
711	708	703
712	708	704
713	709	705
714	709	706
715	709	707
716	709	708
718	582	710
723	687	720
729	687	719
730	687	718
731	687	717
732	687	716
733	687	715
734	687	721
735	687	722
736	687	723
737	687	724
738	687	725
739	687	726
740	582	727
741	582	728
742	401	396
743	401	394
744	578	730
745	531	731
746	348	732
747	338	733
748	606	734
749	582	735
751	603	736
752	348	737
753	215	740
754	215	738
755	260	741
756	260	739
757	349	742
758	743	415
759	743	413
760	743	414
761	743	729
762	743	416
763	743	709
764	604	744
765	634	746
766	634	745
2077	2060	598
2078	2060	401
2079	598	747
2080	598	353
2081	353	351
2082	353	352
2084	2072	2068
2085	2072	2067
2086	2072	2066
2087	2072	2065
2088	2072	2064
2089	2072	2063
2090	2072	2062
2091	2072	2061
2092	2072	2073
2093	2072	2074
2095	2072	2071
2096	338	2075
2097	582	2076
2098	705	2077
2100	2079	2078
2101	2079	713
2102	2079	163
2103	2079	712
2104	2079	711
2105	708	2080
2106	531	2081
2107	385	2072
2108	578	576
2109	601	2083
2110	645	205
2111	634	2084
2112	2072	2085
2113	531	2086
2114	350	2087
2115	350	2088
2116	590	2089
2117	2089	2090
2118	344	2091
2119	344	2092
2120	338	2093
2121	608	2094
2122	2072	2095
2123	578	2097
2124	578	2098
2125	578	2099
2126	578	2100
2127	578	2101
2128	578	2103
2132	578	2104
2133	578	2105
2134	578	2106
2135	2072	2070
2136	2072	2069
2137	343	2079
2564	748	2962
2565	595	2962
2994	596	639
2995	596	636
2996	2962	2963
2997	2962	2964
2998	2962	2965
2999	2962	2966
3000	2962	2967
3001	2962	2968
3002	2962	2969
3003	2962	2970
3004	2962	2971
3005	2962	2972
3006	2962	2973
3007	2962	2974
3008	2962	2975
3009	2962	2976
3010	2962	2989
3011	2962	2990
3012	2962	2991
3013	2962	2992
3014	2962	2993
3015	2962	2994
3016	2962	2995
3017	2962	2996
3018	2962	2997
3019	2962	2998
3020	2962	2999
3021	2962	3000
3022	2962	3001
3023	2962	3002
3024	2962	3003
3025	2962	3004
3026	2962	3005
3027	2962	3006
3028	2962	3007
3029	2962	3008
3030	2962	3017
3031	2962	3018
3032	2962	3019
3033	2962	3020
3034	2962	3021
3035	2962	3022
3036	2962	3023
3037	2962	3024
3038	2962	3025
3039	2962	3026
3040	2962	3027
3041	2962	3028
3042	2962	3029
3043	2962	3030
3044	2962	3031
3045	2962	3039
3046	2962	3040
3047	2962	3041
3048	2962	3042
3049	2962	3049
3050	2962	3062
3051	2962	3063
3052	2962	3067
3053	2962	3072
3054	2962	3073
3055	2962	3074
3056	2962	3075
3057	2962	3087
3058	2962	3090
3059	2962	3091
3060	2962	3126
3061	2962	3128
3062	2962	3129
3063	2962	3130
3064	2962	3131
3065	2962	3132
3066	2962	3133
3067	2962	3134
3068	2962	3135
3069	2962	3139
3070	2962	3140
3071	2962	3141
3072	2962	3155
3073	2962	3156
3074	2962	3160
3075	2962	3161
3076	2962	3165
3077	2962	3166
3078	2962	3167
3079	2962	3168
3080	2962	3176
3081	2962	3177
3082	2962	3178
3083	2962	3179
3084	2962	3180
3085	2962	3181
3086	2962	3182
3087	2962	3183
3088	2962	3184
3089	2962	3185
3090	2962	3186
3091	2962	3187
3092	2962	3188
3093	2962	3189
3094	2962	3209
3095	2962	3210
3096	2962	3213
3097	2962	3214
3098	2962	3216
3099	2962	3217
3100	2962	3218
3101	2962	3219
3102	2962	3220
3103	2962	3221
3104	2962	3222
3105	2962	3223
3106	2962	3224
3107	2962	3225
3108	2962	3226
3109	2962	3227
3110	2962	3228
3111	2962	3229
3112	2962	3230
3113	2962	3244
3114	2962	3245
3115	2962	3246
3116	2962	3247
3117	2962	3248
3118	2962	3249
3119	2962	3250
3120	2962	3251
3121	2962	3262
3122	2962	3263
3123	2962	3264
3124	2962	3287
3125	2962	3291
3126	2962	3292
3127	2962	3296
3128	2962	3297
3129	2962	3298
3130	2962	3299
3131	2962	3300
3132	2962	3301
3133	2962	3302
3134	2962	3303
3135	2962	3304
3136	2962	3305
3137	2962	3306
3138	2962	3308
3139	2962	3309
3140	2962	3310
3141	2962	3311
3142	2962	3312
3143	2962	3313
3144	2962	3314
3145	2962	3315
3146	2962	3316
3147	2962	3317
3148	2962	3321
3149	2962	3324
3150	2962	3325
3151	2962	3326
3152	2962	3327
3153	2962	3328
3154	2962	3329
3155	2962	3330
3156	2962	3331
3157	2962	3332
