AttribuutID	Attribuut	BovenliggendAttribuut	TypeAttribuut	Datatype
1109	625	null	14483	14581
1110	626	null	14481	14578
1111	627	null	14486	14580
1114	630	null	14482	14583
1115	631	null	14486	14580
1116	632	null	14481	14578
1117	633	null	14481	14578
1118	634	null	14481	14578
1119	635	null	14482	14583
1120	636	null	14482	14583
1121	637	null	14482	14583
1123	639	null	14481	14578
1124	640	null	14481	14578
1125	641	null	14482	14586
1126	642	null	14481	14578
1127	643	null	14481	14578
1128	644	null	14481	14578
1129	645	null	14484	14578
1130	646	null	14482	14586
1131	647	null	14482	14586
1132	648	null	14482	14586
1133	649	null	14482	14587
1134	650	null	14483	14587
1135	651	null	14482	14587
1136	652	null	14481	14578
1137	653	null	14482	14583
1138	654	null	14482	14587
1139	655	null	14482	14587
1140	656	null	14486	14580
1141	657	null	14481	14578
1142	658	null	14486	14580
1144	660	376	14481	14578
1145	661	null	14484	14578
1146	662	null	14482	14583
1148	664	null	14482	14583
1149	665	null	14486	14580
1150	666	null	14486	14580
1151	667	null	14486	14580
1152	668	null	14482	14583
1153	669	null	14482	14587
1154	670	null	14483	14538
1158	674	null	14481	14578
1159	675	674	14481	14578
1160	676	null	14481	14578
1161	677	null	14482	14587
1162	678	null	14481	14578
1163	679	null	14486	14580
1164	680	null	14486	14580
1165	681	null	14482	14587
1167	683	null	14481	14578
1168	684	null	14482	14583
1169	685	null	14481	14578
1170	686	null	14486	14580
1171	687	null	14481	14578
1172	688	null	14481	14578
1173	689	null	14481	14578
1175	691	null	14482	14586
1178	694	null	14482	14583
1179	695	null	14482	14583
1180	696	null	14482	14583
1181	697	null	14482	14583
1182	698	null	14486	14580
1183	699	null	14484	14578
1184	700	null	14481	14578
1185	701	null	14481	14578
1186	702	null	14481	14578
1187	703	null	14481	14578
1188	704	null	14482	14587
1189	705	null	14482	14582
1190	706	null	14482	14582
1191	707	null	14482	14583
1192	708	null	14482	14583
1193	709	null	14481	14578
1194	710	null	14482	14583
1195	711	null	14482	14585
1196	712	null	14482	14583
1197	713	null	14482	14583
1198	714	null	14482	14583
1199	715	null	14482	14583
1200	716	null	14482	14583
1201	717	null	14482	14583
1202	718	null	14482	14583
1203	719	null	14482	14585
1204	720	null	14481	14578
1205	721	null	14482	14587
1206	722	null	14481	14578
1217	733	null	14481	14578
1219	735	null	14481	14578
1220	736	null	14482	14587
1221	737	null	14484	14578
1222	738	null	14482	14587
1223	739	null	14482	14587
1224	740	null	14481	14578
1226	742	null	14482	14583
1229	745	null	14482	14585
1230	746	null	14482	14581
1231	747	null	14482	14581
1232	748	null	14482	14581
1235	751	null	14481	14578
1237	753	null	14482	14583
1238	754	null	14483	14583
1239	755	null	14482	14583
1240	756	null	14482	14583
1241	757	null	14483	14583
1242	758	null	14482	14583
1243	759	null	14482	14585
1244	760	null	14482	14583
1245	761	null	14482	14585
1246	762	null	14482	14583
1247	763	null	14482	14583
1248	764	null	14482	14583
1249	765	null	14482	14585
1250	766	null	14482	14583
1251	767	null	14482	14583
1252	768	null	14482	14583
1253	769	null	14482	14583
1254	770	null	14482	14583
1255	771	null	14482	14583
1256	772	null	14484	14578
1257	773	null	14484	14578
