KlasseID	Klasse	Volgorde
3196	15030	21
3197	8494	21
3198	9914	21
3199	16705	21
3200	16706	21
3201	15031	21
3202	8496	21
3203	16735	21
3204	16742	21
3205	14061	21
3206	8497	21
3207	10104	21
3208	15175	21
3209	15105	32
3210	8347	32
3211	16707	21
3212	16708	21
3213	15106	32
3214	15107	32
3215	8498	21
3216	16876	32
3217	8327	32
3218	15108	32
3219	16684	32
3220	15109	32
3221	15110	32
3222	15111	32
3223	8301	32
3224	15112	32
3225	15113	32
3226	8302	32
3227	9780	32
3228	15114	32
3229	15115	32
3230	15116	32
3231	10223	21
3232	9915	21
3233	8499	21
3234	8500	21
3235	8501	21
3236	8502	21
3237	10084	21
3238	8503	21
3239	8505	21
3240	8506	21
3241	10105	21
3242	8507	21
3243	8504	21
3244	15266	32
3245	15117	32
3246	15118	32
3247	16875	32
3248	15119	32
3249	9700	32
3250	9701	32
3251	15120	32
3252	8128	21
3253	8129	21
3254	8130	21
3255	16709	21
3256	16710	21
3257	15032	21
3258	16743	21
3259	16744	21
3260	8509	21
3261	16711	21
3262	8343	32
3263	8305	32
3264	16685	32
3265	8510	21
3266	8511	21
3267	8512	21
3268	16712	21
3269	16713	21
3270	8513	21
3271	8514	21
3272	8515	21
3273	8516	21
3274	8517	21
3275	8518	21
3276	8519	21
3277	8520	21
3278	8521	21
3279	8522	21
3280	8523	21
3281	11260	21
3282	8524	21
3283	8525	21
3284	15033	21
3285	8527	21
3286	8528	21
3287	16873	32
3288	16714	21
3289	16734	21
3290	8529	21
3291	8278	32
3292	8344	32
3293	11261	21
3294	8530	21
3295	11314	21
3296	8318	32
3297	15121	32
3298	15122	32
3299	15123	32
3300	15124	32
3301	15125	32
3302	15126	32
3303	15127	32
3304	15128	32
3305	15129	32
3306	8306	32
3307	15036	21
3308	15130	32
3309	15131	32
3310	15132	32
3311	15133	32
3312	15134	32
3313	15135	32
3314	9776	32
3315	15136	32
3316	15137	32
3317	8319	32
3318	8531	21
3319	8532	21
3320	11315	21
3321	15138	32
3322	11308	21
3323	8533	21
3324	15139	32
3325	8352	32
3326	8350	32
3327	8351	32
3328	15140	32
3329	15141	32
3330	15142	32
3331	15143	32
3332	15144	32
3333	15145	32
3334	15146	32
3335	15147	32
3336	10842	32
3337	8309	32
3338	15148	32
3339	15149	32
3340	15150	32
3341	15151	32
3342	15152	32
3343	8310	32
3344	15153	32
3345	15154	32
3346	15155	32
3347	15156	32
3348	15157	32
3349	8534	21
3350	16732	21
3351	8535	21
3352	15158	32
3353	8536	21
3354	11316	21
3355	15159	32
3356	15160	32
3357	15161	32
3358	15162	32
3359	15163	32
3360	15164	32
3361	16715	21
3362	15165	32
3363	8537	21
3364	8345	32
3365	16662	32
3366	8320	32
3367	16661	32
3368	8321	32
3369	8538	21
3370	15041	21
3371	8539	21
3372	8540	21
3373	8541	21
3374	8542	21
3375	16716	21
3376	16717	21
3377	16718	21
3378	16719	21
3379	16720	21
3380	15034	21
3381	8544	21
3382	8545	21
3383	10735	32
3384	8546	21
3385	8547	21
3386	8548	21
3387	8549	21
3388	15166	32
3389	16956	32
3390	16955	32
3391	16954	32
3392	16953	32
3393	16952	32
3394	16951	32
3395	16950	32
3396	16949	32
3397	16948	32
3398	10205	11
