refDomeinwaardeID	refDomeinwaardeGUID	refInformatiemodel	refAttribuut	refDomeinwaarde	refBovenliggendeWaarde	URI	Definitie	Toelichting	Wijzigingsdatum
87	b0a4c022-672c-49aa-8e55-0a43a3f07457	5	20	busstrook	Wegdeel	null	Rijstrook aangeduid door de tekst BUS op het verhardingsoppervlak en bestemd voor autobussen, ten behoeve van het openbaar vervoer en andere erop toegelaten motorvoertuigen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
88	aae7804a-a56d-4e84-b87c-3add9aac58eb	5	31	buurt	RegistratiefGebied	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
89	1d9e85a9-d462-4958-84cb-48e6a1841826	5	31	CAI-kast	Kast	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
90	b6abd9b4-068d-4a64-859d-a616c945cf82	5	29	calamiteitendoorsteek	Wegdeel	null	null	null	Tue Nov 14 2023 00:00:00 GMT+0000 (Coordinated Universal Time)
91	a7a39825-1ac6-4036-b2b4-56fd91023063	5	31	camera	Sensor	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
92	9f766ee6-608a-4302-9813-5b1d55152e0a	5	31	carpoolplaats	FunctioneelGebied	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
93	904a074e-51b6-4d85-8c1c-6b13e47e5ecb	5	6	cementbeton	gesloten verharding	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
94	621d555a-e45c-4665-85ad-14764380b95a	5	22	centrumgebied	FunctioneelGebied	null	Gebied om het centrum van een stad of dorp te kunnen afbakenen en deze voor beleidsdoeleinden te kunnen gebruiken.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
95	caf3ad42-7273-43eb-83cb-ac7f334fc341	5	22	compartiment	FunctioneelGebied	null	Een onderdeel van een Overstortput, Bijzondere putconstructie, Stuwput, Septictank, Bergingsvijver of Gemaal.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
96	a75c9bda-db91-4253-98c3-8615488463ca	5	31	container	Bak	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
97	c61d62ef-29c1-4f7e-9a7b-a580a6006566	5	31	coupure	Kunstwerkdeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
