refDomeinwaardeID	refDomeinwaardeGUID	refInformatiemodel	refAttribuut	refDomeinwaarde	refBovenliggendeWaarde	URI	Definitie	Toelichting	Wijzigingsdatum
235	12f60c53-abee-4b66-b6d8-2590b62205bc	5	22	inlaatconstructie	Kunstwerkdeel	null	Constructie om oppervlaktewater in te nemen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
236	9cfc0530-fac0-4551-be98-e3b19c2a2dda	5	13	inrit	Wegdeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
237	5a3784d1-754f-418e-9c60-4d69aa2dee14	5	31	inspectie- / rioolput	Put	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
238	3a5ac8d6-f0cb-4326-9d99-09ddffc459ac	5	22	kabel	Leiding	null	Kabels, buisleidingen en andere elementen onder of boven de grond in gebruik voor transport van energie of materie.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
239	57ab7a38-1145-40eb-99d3-aeb400ec92af	5	22	kabeldraagsysteem	Leiding	null	Constructie ter bevestiging, bescherming en/of ondersteuning van kabels en/of leidingen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
240	152c1081-6b62-4d5f-9961-88ac7eb542c4	5	22	kabelgeul	Leiding	null	Ruimtebeslag dat door een gemeenschappelijk tracé van één of meer kabels, buizen, HDPE- en/of mantelbuizen - die toebehoren aan één netwerkbeheerder - wordt gevormd.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
241	53d198a0-2607-4eea-ba99-1d1f615322ec	5	19	kademuur	Scheiding	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
242	1bb830fd-3575-46f6-bf31-5dc02b06a871	5	31	kademuur (OS)	OverigeScheiding	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
243	bad12e12-4156-4d00-8de4-e89a9bde70bc	5	22	kathodische beschermingspaal	Straatmeubilair	null	Installatie ten behoeve van corrosiebestrijding dat berust op het principe van potentiaalverlaging van het te beschermen object.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
244	84f88394-cdc9-4118-8c8d-5bb8d7efb0a6	5	31	keermuur	Kunstwerkdeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
245	b04ad7b9-01a0-4ae0-9f1d-8e79f61f4a01	5	19	kering	FunctioneelGebied	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
246	6a4ddc29-e34c-4feb-a604-d52883ee09d1	5	22	kleedgebouw	Pand	null	Bouwwerk op een sportterrein voor het omkleden van de gebruikers.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
247	f337f513-1eed-41d9-a44f-9ac2122fd8dd	5	22	klimijzer	Inrichtingselement	null	Ingestorte stalen of aluminium staven in een beton- of baksteenconstructie die gebruikt worden als ladderconstructie.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
248	f0585015-04ea-4676-a486-f828f61c3ab1	5	22	klimplant	VegetatieObject	null	Plant met buigzame stengels die zich op diverse manieren aan muren, bomen of constructies hecht en zodoende omhoog klimt.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
249	1500728d-2dde-4aaa-90ff-ca854b91ea61	5	22	klok	Bord	null	Een object waarop de tijd kan worden afgelezen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
250	9402528e-4850-4645-90ff-8daaf4defe18	5	22	knooppunt	FunctioneelGebied	null	Ongelijkvloers kruispunt van (regionale) stroomwegen, bijvoorbeeld vormgegeven als klaverblad-, ster- of turbineknooppunt. Twee regionale stroomwegen of een regionale stroomweg en een nationale stroomweg kunnen onderling een knooppunt vormen. Verkeer kan 	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
251	a533983f-df3c-45d7-a8db-acec3c5c9699	5	31	kolk	Put	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
252	62fcef2c-6f63-4975-be15-a53520c93cb7	5	22	kooldioxideleiding	Leiding	null	Leiding voor het transport van kooldioxide.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
253	10704c6a-7053-460f-b5f6-0e248d820a01	5	20	kraanbaan	Wegdeel	null	De kraanbaan is het profiel aan beide zijden van het gebouw waar het kraansysteem over rijdt.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
254	9d410f6f-e090-4820-bf28-a8b3db07af3e	5	22	kruispunt	FunctioneelGebied	null	Ontmoeting van wegen waar het verkeer van weg mag wisselen. Dit geldt zowel voor het gemotoriseerd verkeer als voor het langzaam verkeer. Voorbeelden zijn: een gelijkwaardig kruispunt, een voorrangskruispunt, een geregeld ruispunt en een (turbo)rotonde.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
255	c3e7ac1a-b16d-4c9b-ba77-81a5797434e9	5	31	kunstobject	Straatmeubilair	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
256	02e4ba24-b1e9-4098-84ec-a478cb1f6d16	5	21	kunststof	gesloten verharding	null	Synthetisch vervaardigd materiaal dat als verharding dient, zoals kunstgras of kunststof toplagen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
257	9f5fbb48-4674-45f2-97f7-34ea89a4c412	5	22	kwaliteitssensor	Sensor	null	Instrument dat de kwaliteit van het afvalwater meet.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
258	4cbd739e-c7b9-417c-bcea-be8c6ef060ab	5	15	kwelder	BegroeidTerreindeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
259	6be0102c-f2f0-4274-b276-2f2516133ec5	5	22	kwelscherm	Scheiding	null	Een kwelscherm is een kunstmatige maatregel om kwelwater tegen te houden. Een kwelscherm wordt meestal in of bij een dijk aangelegd.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
260	9414e5cf-3411-41b1-b21e-bde3c49faddb	5	22	laadbrug	Straatmeubilair	null	Installatie-element met als doel schepen te laden en lossen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
261	b554607c-fad0-4f0c-ad86-b4f82493418c	5	22	laadplein	FunctioneelGebied	null	Een laadplein bestaat uit meer
dan twee laadpunten voor
elektrische voertuigen die niet
afzonderlijk op het net zijn
aangesloten en samen één
aansluiting hebben.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
262	e4db246e-f946-4395-b671-8eff7342f495	5	31	laagspanningsmast	Mast	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
263	a3081283-b43f-4d37-8691-e0b206a51bdf	5	19	lage trafo	OverigBouwwerk	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
264	063a86e0-1d03-4836-bb33-9cb7420fe032	5	22	lamp	Straatmeubilair	null	Kunstmatige lichtbron bedoeld om ruimten en/of voorwerpen te verlichten, in combinatie met een armatuur.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
265	b9b79f4c-16b9-49ea-8da6-01dd66cad8a2	5	31	landbouw	FunctioneelGebied	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
266	e47a1928-3e16-4366-b6e1-3a65bbbca7c4	5	11	landhoofd	Overbruggingsdeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
267	7df9d64d-12e3-4415-a9d5-9a5a7c967f16	5	21	leemdek	half verhard	null	Halfverharding, samenhangend. Siltige deklaag.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
268	8aa9fb29-4941-4ea3-9358-958d2ab2d871	5	22	leuning	Straatmeubilair	null	Constructie aangebracht op een muur of wand die steun biedt en beschermt tegen vallen bij hoogteverschil.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
269	3fd8eaaa-db32-453a-ac66-7b26a5baab03	5	22	lichtbaken	Waterinrichtingselement	null	Waarschuwingsteken in vaarwater dat van een licht voorzien is.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
270	50fcd932-813b-445b-8b44-39f389d40fa5	5	31	lichtcel	Sensor	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
271	332f6abe-5228-4ef5-bd12-3c5cbab5530c	5	31	lichtmast	Paal	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
272	746e031a-3299-4d56-9c6e-d8be9d97c5cf	5	31	lichtpunt	Straatmeubilair	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
273	083a6c9d-cf8c-476a-a0cd-b5a9ffb26cd6	5	22	lift	GebouwInstallatie	null	Een verticaal transportsysteem met vaste stopplaatsen, bedoeld voor het vervoer van personen en/of goederen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
274	e194757e-468c-4a1a-8889-b6374922dfcf	5	22	ligplaats	FunctioneelGebied	null	Een ligplaats is een door het bevoegde gemeentelijke orgaan als zodanig aangewezen plaats in het water al dan niet aangevuld met een op de oever aanwezig terrein of een gedeelte daarvan, die bestemd is voor het permanent afmeren van een voor woon-, bedrij	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
275	d863c287-7e83-406b-ad25-ae4dc3e6700c	5	31	lijnafwatering	Weginrichtingselement	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
276	530ef11d-14c5-4730-bb20-3e9870b1f77c	5	22	lokethuisje	Pand	null	Bouwwerk bij de ingang van een sportterrein voor toegang en entree.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
277	734f68b7-c4b1-4893-a495-6aa409d5f619	5	15	loofbos	BegroeidTerreindeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
278	755b2949-e76b-42af-9d5c-e564951bf700	5	6	griend en hakhout	loofbos	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
279	a3aa75b9-3c10-4ecf-a45e-295f500c4a00	5	22	loopdek	GebouwInstallatie	null	Een loopdek is een openbaar toegankelijke galerij.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
280	7a7651e3-c56d-49ce-adc0-25fb160ec982	5	20	loswal	Wegdeel	null	Verharde oeverstrook aan de vaarweg, geschikt en bestemd voor het lossen van schepen. RWS	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
281	267c196c-46d9-4619-94f5-78195193957a	5	22	loze leiding	Leiding	null	Een leiding die buiten gebruik is, maar zich nog wel in de ondergrond bevindt.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
282	ad9155b2-7eca-419c-9f5b-9e45cb5ee87e	5	22	loze put	Put	null	Put is buiten gebruik, bijvoorbeeld vanwege doorlopende lining	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
283	1a612bec-c0bf-408f-b5ae-3439de2b87b8	5	22	luchtkwaliteitssensor	Sensor	null	Een apparaat voor het meten van de luchtkwaliteit.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
284	826195d4-ab81-40b9-8141-28960ce5d03a	5	22	luchtscherm	Scheiding	null	Scherm voor het verspreiden en tegenhouden van fijnstof.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
285	57dd1c81-7e66-4de6-8f02-e6a111eab274	5	22	luidspreker	Straatmeubilair	null	Een luidspreker is een apparaat waarmee elektrische signalen worden omgezet in geluid.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
286	97127d5d-47cb-42f9-a396-70c2cbc64a95	5	31	luifel	GebouwInstallatie	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
287	a13696ee-0ae7-493f-8a9f-c5c44deefd09	5	31	maatschappelijke en/of publieksvoorziening	FunctioneelGebied	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
288	2b8501f0-cbcc-4d62-9e60-e64a41da4a69	5	22	mantelbuis	Leiding	null	Buis voor bescherming van kabels, buizen en HDPE buizen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
289	26bb53fe-971d-41e0-98d5-ae301ff2a725	5	31	meerpaal	Waterinrichtingselement	null	Paal of samenstel van palen voor een kade of in een haven waaraan een schip kan worden afgemeerd.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
290	e49e2463-77f8-40a6-9de1-d246393b3078	5	22	meerstoel	Waterinrichtingselement	null	In het water staande constructie van in de bodem geplaatste palen of kokers boven water verbonden door gordingen om schepen aan vast te leggen of af te remmen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
291	8e2a96a1-347f-4ecd-a290-d814a17af761	5	22	meetbuis	Sensor	null	Een buis voor het beheren en bewaken van diverse soorten metingen in het veld als onderdeel van een telemetriesysteem.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
292	ce404dd7-1722-47d5-9fe2-8d0aba7e70af	5	22	meldpaal	Paal	null	Paal met daarin een installatie bedoeld om op afstand te kunnen communiceren met een centrale locatie.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
293	fe33dd85-a1d6-458e-8668-5099b71cb9a8	5	21	metaal	gesloten verharding	null	Elementenverharding, verharding bestaande uit metalen elementen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
294	17560035-decd-4017-af43-d737d5f729fc	5	20	metrobaan	Wegdeel	null	Een metrobaan is een spoorweg die speciaal gebouwd is voor gebruik door metro's.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
295	0eafb08a-4443-4037-befc-7d7a52a7af27	5	21	mijnsteen	half verhard	null	Halfverharding, los. Mijnsteen is een verzamelnaam voor alle soorten nevengesteenten die bij de winning van steenkool vrijkomen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
296	620ead9e-e229-4468-ba65-de9e29c1f5fa	5	22	mistbaken	Waterinrichtingselement	null	Waarschuwingsteken in vaarwater door middel van een luchthoorn, die bij slecht zicht, met regelmatige tussenpozen een geluidssein geeft.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
297	232cc8b2-4884-4cd1-923f-d28d20ed5553	5	15	moeras	BegroeidTerreindeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
298	a85915ea-8516-42fb-a94b-9a236033fda5	5	31	molgoot	Weginrichtingselement	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
299	b176739b-dbd8-407d-a54d-e30cbef9f62e	5	21	mulchlaag	onverhard	null	Een laag waarmee grond toegedekt wordt om het verdampen van water te voorkomen.Een natuurlijke mulchlaag zorgt voor bemesting van de bodem en een gezond bodemleven. Verschillende materialen zijn geschikt als mulch.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
300	acbc43f6-e462-4da9-8600-290ba4692d13	5	22	multifunctioneel gebied	FunctioneelGebied	null	Gebied om voor beleidsdoeleinden eengebied af te bakenen voor een combinatie van wonen, werken en winkelen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
301	2c2330c5-b358-4540-91b6-d000ccfa1e98	5	31	muur	Scheiding	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
302	ceea55df-48d3-4c84-841b-81cdc1dea3f0	5	31	muur (OS)	OverigeScheiding	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
303	3c663cfb-c2d1-41d6-83ec-3efb74e5ccea	5	15	naaldbos	BegroeidTerreindeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
304	6eb47d4e-c339-49bb-bdb2-e7c3bbe80b32	5	31	natuur en landschap	FunctioneelGebied	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
305	0ea5a05a-d164-4971-a24a-e16cdc949de8	5	21	natuursteen	open verharding	null	Elementenverharding, verharding bestaande uit elementen van natuursteen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
306	33065873-03d9-4347-a07f-28af386b57f5	5	18	Nieuw	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
307	faf36517-bf42-4dfb-92f8-f0f737a93c76	5	22	obstakelbeveiliger	Weginrichtingselement	null	Bermbeveiligingsconstructie ter afscherming van een obstakel, die botsingsenergie kan absorberen en daardoor bij aanrijding voertuigen met zo weinig mogelijk schade van richting doet veranderen of tot stilstand brengt.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
308	ccd5d599-6d71-44b2-a58f-86668b441d22	5	19	oever, slootkant	OndersteunendWaterdeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
310	6c6269ab-32a6-4004-89d2-5c34d26645fd	5	22	onderdoorgang	Tunneldeel	null	Korte ongelijkvloerse verbinding die bestemd is voor wegverkeer onder een weg of spoorweg door. De lengte van de onderdoorgang is korter dan 300 meter.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
311	c3183380-62d8-4cf7-8752-c4742f931a15	5	22	ontluchtingsleiding	Leiding	null	Leiding bestemd voor de afvoer van lucht.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
312	7ce5d3df-a219-4f58-8d70-fb64a1a778f1	5	22	onttrekkingsput	Put	null	Put met pomp met als doel het onttrekken van grondwater.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
313	2cd2e7ff-f3ab-41ce-9ddf-cc22c6e4740e	5	18	Ontwerp	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
314	d536de5c-4d00-4870-b54c-d0142021ab41	5	15	onverhard	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
315	972df08d-aa0a-4bb2-8790-e8293c4a9759	5	20	onverplicht fietspad	Wegdeel	null	Meestal een vrijliggend pad dat aangeduid wordt met bord G13. Fietsers mogen hier rijden. Bromfietsers mogen hier geen gebruik van maken. Snorfietsers mogen alleen op het onverplichte fietspad als de motor is afgezet.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
316	b01f6c03-c1ae-4bf2-bb97-dc7d50cb4eb3	5	21	open grond	onverhard	null	Onverhard waarvan het oppervlak bestaat uit open grond, niet zijnde zand of zwarte grond.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
317	38c3f6a5-a4a2-4bc1-8caf-b1b52c7b096e	5	19	open loods	OverigBouwwerk	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
318	272f4f1c-9d23-4e87-9840-45a5de214465	5	15	open verharding	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
319	35ec2acc-f6a3-4fba-a26b-19b6eb54ecb3	5	31	openbaar toilet	Straatmeubilair	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
320	cf0d7bc7-bfa4-4cdd-8afb-4a981acbe96b	5	31	openbare verlichtingkast	Kast	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
321	ba84d20c-6940-4c44-93af-a726576a992f	5	31	OpenbareRuimte	RegistratiefGebied	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
322	a2f5c679-4c87-4ce0-8d77-4539f7669f8e	5	22	ophangconstructie	Straatmeubilair	null	Buizenframe voor het bevestigen van borden of andere objecten. Het frame zelf wordt aan een ander objecttype bevestigd, bijvoorbeeld aan een viaduct.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
323	1bce3908-eaa0-4e3f-aa42-55a295b7067f	5	22	oplaadpaal	Straatmeubilair	null	Een laadpaal (of laadstation) is een fysiek object met één of meer laadpunten.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
324	c697e2eb-56c5-43b4-9502-9d6809639c80	5	22	opslagcontainer	Straatmeubilair	null	Gestandaardiseerde metalen kist voor de opslag van materialen of producten.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
325	bd554a5d-74d4-46e1-b4bf-05417a58f157	5	19	opslagtank	OverigBouwwerk	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
326	976b9097-3b63-43fc-be89-154cda8c335b	5	22	opstelplaats	FunctioneelGebied	null	Locatie geschikt gemaakt voor bijzondere parkeerbehoeften.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
327	136443b1-3c45-4c14-92d6-d44d53916a91	5	22	opvangzone	FunctioneelGebied	null	Oppervlak waarop de gebruiker terecht komt na het vallen door de valruimte. De opvangzone is het gebied rondom een speeltoestel waar bodemmateriaal met schokdempende eigenschappen moet liggen. De vereiste afmetingen van de opvangzone zijn afhankelijk van 	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
328	4ce323f1-9709-4dd1-823b-cc847b3b6a05	5	22	opzetstuk	Straatmeubilair	null	Een algemene benaming voor een toevoeging aan een bestaand object, wat op het bestaande object vastgezet kan worden.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
329	38f47276-1c24-4861-93f5-bbad54f2cfd7	5	13	OV-baan	Wegdeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
330	b18b83c1-0c5a-40d0-ab9e-ce4087eb0ed9	5	11	overbruggingsdeel	Overbruggingsdeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
331	341c0f42-422e-48a5-9999-4707029b7d95	5	19	overkapping	OverigBouwwerk	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
332	d8fd7cd4-f522-4bac-b4de-9ace03bfa83f	5	31	overkluizing	Kunstwerkdeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
333	72d442a6-c7d4-4066-ad3f-ef35edf3ccdc	5	22	overstap	Straatmeubilair	null	Een plaats waar wandelaars over een faunaraster heen kunnen stappen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
334	1d158752-4472-403e-a93b-2bfd710a11ef	5	20	oversteekplaats	Wegdeel	null	Een oversteekplaats is een locatie die middels specifieke markering op de rijbaan bestemd is om over te steken. Een oversteekplaats is een locatie op een weg die bestemd is om over te steken en die als zodanig aangegeven is.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
335	da167772-f54b-48df-93df-93c80f902e5f	5	22	overstortmeter	Sensor	null	Meter die de overstortgebeurtenis registreert.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
336	d0cdf9db-f2f1-4342-96ee-a7c9105a5fa4	5	13	overweg	Wegdeel	null	Gelijkvloerse kruising van een weg met een (spoor)rails	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
337	1cb99261-9dbd-4a0f-b4f0-dacf50c4592d	5	22	OV-voorziening	FunctioneelGebied	null	Het zijn aparte voorzieningen die bij of aan een rijbaan/rijstrook liggen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
338	8be84e43-1f55-4868-b04b-a9d0575db04e	5	22	paddenstoel	Bord	null	Betonnen paaltjes in de vorm van een paddenstoel dienend als wegwijzer voor fietsers en wandelaars in toeristisch fraaie gebieden.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
339	81fc0d83-5194-476c-81c7-41a43980bc9a	5	20	parallelweg	Wegdeel	null	Een parallelweg is een weg die evenwijdig loopt aan een andere (spoor)weg of aan een kanaal. De parallelweg heeft als primair doel het ontsluiten van percelen naast een verkeersweg, zonder dat het verkeer op de verkeersweg hierdoor gehinderd wordt.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
340	4d3cb57e-6714-429e-9151-76b5b3e34928	5	22	parkeerautomaat	Straatmeubilair	null	Verkoopautomaat die op straat of in een parkeergarage staat waar men parkeerbelasting moet betalen om te parkeren.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
341	be718039-f583-4b02-bd4e-514db1d5149e	5	31	parkeerbeugel	Straatmeubilair	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
342	38878af8-bf44-49de-ab95-c6e40483900a	5	22	parkeerdek	GebouwInstallatie	null	Een verdieping binnen een parkeergarage.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
343	e1bb7bef-d5ff-46c9-b401-1fb51325cb6d	5	22	parkeermeubilair	Straatmeubilair	null	Voorziening voor het afschermen van een parkeerplaats.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
344	fd9aaae7-76c4-4157-8010-41757e8670e8	5	20	parkeerstrook	Wegdeel	null	Verharde strook bestemd voor het parkeren van voertuigen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
345	364fb976-586f-4823-9e53-2cb8e86f7b27	5	20	parkeerterrein	Wegdeel	null	Terrein bestemd voor het parkeren van voertuigen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
346	199e9f34-e6d4-4de8-b36c-50b34a89401e	5	20	parkeervak	Wegdeel	null	Tot de weg behorende, maar niet onmiddellijk aan de hoofdrijbaan grenzende parkeergelegenheid, met inbegrip van de bijbehorende verharde en onverharde banen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
347	d5ddb5f6-1d36-41b1-9415-7a783bc88568	5	20	parkeervak fietsen	Wegdeel	null	Gemarkeerde parkeergelegenheid voor één voertuig. Met 'fietsen' gesubstitueerd voor 'één voertuig': Gemarkeerde parkeergelegenheid voor fietsen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
348	9250d3a3-75b3-4f69-8720-1b0c6469d728	5	20	parkeervak scooters	Wegdeel	null	Gemarkeerde parkeergelegenheid voor één voertuig. Met 'scooters' gesubstitueerd voor 'één voertuig': Gemarkeerde parkeergelegenheid voor scooters.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
349	de8028f6-03a9-4ab2-8d7c-d23aaf3814fa	5	13	parkeervlak	Wegdeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
350	a7be4bef-5a85-48a3-b758-0252c21a3d5b	5	22	parkeervoorziening	FunctioneelGebied	null	Tot de weg behorende, maar niet onmiddellijk aan de hoofdrijbaan grenzende parkeergelegenheid, met inbegrip van de bijbehorende verharde en onverharde banen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
