CID	C
395	Vetvangput
396	Vijzelgemaal
397	Vijzelgemaal
398	Vijzelpomp
399	Vislift
400	Vislift
401	Visoverwinteringsplek
402	Visoverwinteringsplek
403	Vispaaiplaats
404	Vispaaiplaats
405	Vissluis
406	Vissluis
407	Vistrap
408	Vistrap
409	Vleermuiskelder
410	Vleermuiskelder
411	Vleermuisportaal
412	Vlinderklep
413	Vogeleiland
414	Vogeltil
415	Vogeltil
416	Volgeschuimde leiding
417	Volgeschuimde leiding
418	Volgeschuimde put
419	Volgezande leiding
420	Volgezande leiding
421	Vrijverval leidingsegment
422	Vuilwaterriool
423	Vuilwaterriool
424	Vuilwaterriool
425	Vuilwaterriool
426	Vuurplek
427	Walstroomkast
428	Wandelpad
429	Water onder duiker
430	Water onder duiker
431	Waterkoeler
432	Waterplein
433	Waterplein
434	Werkpad
435	Werveloverstortput
436	Werveloverstortput
437	Wervelput
438	Wervelput
439	Wildrooster
440	Windketel
441	Windsingel
442	Winterverblijf
443	Winterverblijf
444	Woninglocatie
445	Y-stuk
446	Zandhouder
447	Zandvangput
448	Zichthoek
449	Zinker
450	Zinker
451	Zinker
452	Zinker
453	Zinkerput
454	Zinkerput
455	Zitmuur
456	Zitrand
457	Zitsteen
458	Zuigerpomp
