VocabulairID	VocabulairGUID	IMBORGUID	Collectie	Term	KlasseType	Synoniem	Definitie	Toelichting	Wijzigingsdatum	URI
1091	696fe178-a9bc-4ca2-ad5e-434fe9363ae9	9b0efe1b-2e07-4f03-9c8e-e5c95a9937fd	5	Registratieve ruimte	14795	Registratief gebied	Op basis van wet- of regelgeving afgebakende ruimte die als eenheid geldt van politiek/bestuurlijke verantwoordelijkheid of voor bedrijfsvoering.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	http://modellen.geostandaarden.nl/def/nen3610-2022#RegistratieveRuimte
56	d7d4d8e5-f48a-4474-91e3-d7089e295c76	8298e24e-2d79-48c5-a80c-74503dfdc588	2	Damwand	14796	null	Grondkerende of waterkerende constructie bestaande uit nagenoeg verticaal in de grond aangebrachte elementen die door middel van een langsprofiel in elkaar grijpen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/8298E24E-2D79-48C5-A80C-74503DFDC588
23040	c5a1be73-f0fc-4663-b409-bc223ab0ad78	7022ea8c-50bb-44d7-b968-de4b00b0ce8f	9	Hour	14796	null	The hour (common symbol: h or hr) is a unit of measurement of time. In modern usage, an hour comprises 60 minutes, or 3,600 seconds. It is approximately 1/24 of a mean solar day. An hour in the Universal Coordinated Time (UTC) time standard can include a negative or positive leap second, and may therefore have a duration of 3,599 or 3,601 seconds for adjustment purposes. Although it is not a standard defined by the International System of Units, the hour is a unit accepted for use with SI, represented by the symbol h.	null	Tue Sep 24 2024 00:00:00 GMT+0000 (Coordinated Universal Time)	http://qudt.org/vocab/unit/HR
57	7358cfb5-d6c2-4650-826b-9c46bc17a5a9	75592c28-b3db-40f4-88cc-94fb8d5fcae1	2	Debietmeter	14796	null	Een instrument dat de (afvoer)capaciteit van de volumestroom meet.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/75592C28-B3DB-40F4-88CC-94FB8D5FCAE1
58	a4382739-6639-4dd6-a55e-484b9f85595c	44973c3f-dc5d-4cee-8654-476728c4893d	2	Deelsportcomplex	14796	null	Onderdeel van een en verdere afbakening van een sportterrein of een sportcomplex.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/44973C3F-DC5D-4CEE-8654-476728C4893D
23041	0628e2fe-faf2-4c69-bf58-d4e798421bf6	da19b458-2133-4401-8300-b5e31ed3c307	9	Cubic Meter per Second	14796	null	A cubic metre per second, cumecs or cubic meter per second in American English) is a derived SI unit of flow rate equal to that of a stere or cube with sides of one metre ( u0303 39.37 in) in length exchanged or moving each second. It is popularly used for water flow, especially in rivers and streams, and fractions for HVAC values measuring air flow.	null	Tue Sep 24 2024 00:00:00 GMT+0000 (Coordinated Universal Time)	http://qudt.org/vocab/unit/M3-PER-SEC
110	bbc15ef8-1c43-4409-9771-50734da21b32	40b39db2-3f4d-4dc9-a145-35b53fd5b5ee	2	Hoofdpost	14796	null	Voorziening voor monitoren en besturen van instrumenten.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/40B39DB2-3F4D-4DC9-A145-35B53FD5B5EE
23042	a728a17c-c8e8-46db-b009-72ec3ae2940f	2dc964a6-bd7f-41af-98db-0f196b92b933	9	Kilometer per Hour	14796	null	Kilometer per Hour is a C.G.S System unit for  'Linear Velocity' expressed as km/hr	null	Tue Sep 24 2024 00:00:00 GMT+0000 (Coordinated Universal Time)	http://qudt.org/vocab/unit/KiloM-PER-HR
23043	73da5f2f-ae57-4c2c-bcc5-71f08f167cd4	cf134dca-bebd-4907-8971-91c6517f9ef6	9	Centimeter	14796	null	A centimetre is a unit of length in the metric system, equal to one hundredth of a metre, which is the SI base unit of length. Centi is the SI prefix for a factor of 10.  The centimetre is the base unit of length in the now deprecated centimetre-gram-second (CGS) system of units.	null	Tue Sep 24 2024 00:00:00 GMT+0000 (Coordinated Universal Time)	http://qudt.org/vocab/unit/CentiM
1	f84b5f77-4440-4efc-ab93-c9ee94a67edb	d92e6993-5546-4b29-8cc5-25414e83c042	2	Aanleginrichting	14796	null	Een brugdek dat aan één zijde scharnierend bevestigd is aan de wal en aan de andere zijde omhoog en omlaag kan bewegen. Bij wisselende waterstanden kunnen de veerboten zo altijd aanmeren en kunnen de mensen gemakkelijk van de wal op het schip komen. Hoog boven het brugdek staat, op vier palen, een ruimte met daarin de motor die het brugdek op en neer kan doen bewegen door middel van staalkabels.	null	Wed May 10 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/D92E6993-5546-4B29-8CC5-25414E83C042
2	a18f6c33-5557-443e-bee8-15de89507455	93e18816-83f8-4e96-86c2-f2127f399d1c	2	Aansluiting	14796	null	Ongelijkvloers kruispunt van een nationale stroomweg en een niet-nationale stroomweg (bijvoorbeeld Haarlemmermeeraansluiting of een halfklaverbladaansluiting) of tussen twee regionale stroomwegen onderling, of tussen een regionale en een gebiedsontsluitingsweg.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/93E18816-83F8-4E96-86C2-F2127F399D1C
3	db61b024-6832-4406-8f82-7d8cba3775f6	0a724d02-77c1-4dd6-89de-d936e4d7910d	2	Aansluitleiding	14796	null	Leiding tussen een gebouw of een kolk en een knooppunt of leiding voor de aanvoer van afvalwater.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/0A724D02-77C1-4DD6-89DE-D936E4D7910D
4	6325b757-caa9-4966-a1d8-72656e9dd350	401ec4c0-809b-48f0-9646-0f646a8f1ae5	2	Aansluitput	14796	null	Type put met de functie aansluitleidingen aansluiten.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/401EC4C0-809B-48F0-9646-0F646A8F1AE5
5	a69c1e51-4077-4978-aef8-0a6af14b6b6d	28f47317-7dd0-4210-9165-e1ef902ae66d	2	Aansluitvoorziening	14796	null	Een kast(je) welke als zelfstandig objecttype in een ander objecttype of aan een drager bevestigd kan worden voor de aansluiting van de grondkabel om objecten in de openbare ruimte van stroom te voorzien.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/28F47317-7DD0-4210-9165-E1EF902AE66D
6	7dd02198-d821-4c87-96fe-099c8730dfb4	4c78d58e-8344-4696-baa8-7f8ebe91ef31	2	Aardolieleiding	14796	null	Leiding voor het transport van aardolie.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/4C78D58E-8344-4696-BAA8-7F8EBE91EF31
7	4ce84096-1f66-4093-b852-1082e8bcf875	c4522e75-7f0b-4bbe-a3c7-e93f34cc8b31	2	Abri	14796	null	Een kleine, niet afgesloten wachtruimte voor het openbaar vervoer, zoals bij een bushalte, bus-, metro- of treinstation.	null	Wed May 10 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/C4522E75-7F0B-4BBE-A3C7-E93F34CC8B31
8	824afe52-1d27-47f0-a5dc-3e44a22262ff	0b25b106-78bf-484d-a888-e915d092d352	2	Achtergrondschild	14796	null	Scherm dat wordt aangebracht om of achter verkeerslantaarns.	null	Wed May 10 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/0B25B106-78BF-484D-A888-E915D092D352
111	938214ba-eb14-4b30-a1a5-527eace02d48	24adb07a-8a5e-435b-852f-5c034eafcceb	2	Hoofdweg	14796	null	Gebied primair in gebruik voor verkeer en vervoer, waaronder spoorwegen, wegdelen, vliegverkeersbanen, parkeerterreinen, bermen en de ondersteunende objecten als kunstwerken verstaan worden. Opmerking: Erftoegangswegen (buurtontsluitingswegen, industriewegen, landbouwwegen, fietsstraten, woonstraten), fietspaden, voetpaden, ruiterpaden en parkeergebieden worden toegerekend aan het functionele gebied waarbinnen ze liggen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/24ADB07A-8A5E-435B-852F-5C034EAFCCEB
112	66749e75-c23e-45a3-8dce-71275cdcf8f7	7c9f5dcb-f5b5-41aa-a534-a84817fa617a	2	Hoogtebegrenzer	14796	null	Een object dat ervoor zorgt dat te hoge en/of te zware voertuigen niet verder rijden waar de toegang voor hen niet gewenst is.	null	Wed May 10 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/7C9F5DCB-F5B5-41AA-A534-A84817FA617A
113	0da3d386-2a90-47d6-ad4f-cca2f14aa988	e063bee1-3899-460d-9a4b-a0b7bf47395d	2	Hoogtemerk	14796	null	Relatief permanent merk, natuurlijk of kunstmatig, met daarin een punt met een bekende hoogte ten opzichte van een bepaald referentievlak.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/E063BEE1-3899-460D-9A4B-A0B7BF47395D
114	c19fa0b0-7891-4cc3-809c-0aab9e101e2b	d1cea3bc-7d74-47cd-bcb1-dbf017a470b8	2	Hydrant	14796	null	Aansluitpunt voor een slang om bijvoorbeeld een beregeningshaspel of losse sproeier op aan te sluiten.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/D1CEA3BC-7D74-47CD-BCB1-DBF017A470B8
166	3e4d441e-adff-492f-a48e-9cb7aca079fe	40e5bfd4-f071-466b-a8a7-c1a0ac092ba9	2	Natuurgebied	14796	Bos- en natuurgebieden	Gebied dat wegens natuurschoon en/of natuurlijke historie in stand wordt gehouden.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/40E5BFD4-F071-466B-A8A7-C1A0AC092BA9
167	5967470e-96b9-4d7e-85ab-70e682035e28	6a473f55-68a2-444a-9561-41bee956d76c	2	Nutsaansluiting	14796	null	Installatie ten behoeve van de regeling van het transport van elektriciteit, water of gas tijdens evenementen, voor markten of voor andere doeleinden.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/6A473F55-68A2-444A-9561-41BEE956D76C
168	cf0ce326-7b26-4a89-b4be-57101161212e	1d5691f0-e94a-473f-88d8-7986ff8e3223	2	Obstakelbeveiliger	14796	null	Bermbeveiligingsconstructie ter afscherming van een obstakel, die botsingsenergie kan absorberen en daardoor bij aanrijding voertuigen met zo weinig mogelijk schade van richting doet veranderen of tot stilstand brengt.	Bermbeveiligingsconstructie ter afscherming van een solitair obtakel die de botsenergie kan absorberen en het voertuig van richting doet veranderen of tot stilstand brengt.	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/1D5691F0-E94A-473F-88D8-7986FF8E3223
169	8a4ad6c3-d281-4656-96b2-aac24a1b0fc8	914127ef-670f-44ff-b64f-883596e3244b	2	Onderdoorgang	14796	null	Een tunnel met geringe afmetingen in lengte en breedte. In tegenstelling tot de gangbare definitie van een tunnel, wordt een dergelijke ondertunneling meestal niet onder een watergang, maar onder een spoor- of verkeersweg aangelegd. Korte ongelijkvloerse verbinding die bestemd is voor wegverkeer onder een weg of spoorweg door. Het is in lengte typisch korter dan 300 meter.	null	Wed May 10 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/914127EF-670F-44FF-B64F-883596E3244B
