DID	D	Informatiemodel	Enumeratie
246	Mechanische perceelaansluiting	3	RioolaansluitingVerschijningsvorm
247	Meetpunt	3	RioleringNodeVerschijningsvorm
248	Mes	4	OverstortdrempelVorm
249	Mes	4	DoorlaatVorm
250	Metro	4	DuikerModaliteit
251	Middelzwaar motorvoertuig (mv)	4	DuikerModaliteit
252	Middelzwaar wegverkeer	4	DuikerModaliteit
253	Mof/spie	3	FysiekObjectVerbindingstype
254	Monsternamepunt	3	RioleringNodeVerschijningsvorm
255	Motorfiets	4	DuikerModaliteit
256	Muil	4	DoorlaatVorm
257	Natte pompkelder	3	CompartimentVerschijningsvorm
258	NEN6723 VBB 1955	4	ConstructieOrigineleBelastingklasse
259	NEN8701 (geschikt voor al het wegverkeer met uitzondering van:… nader te specificeren vrij tekstveld wat voor voertuigen zijn uitgesloten…)	4	ConstructieHerbeoordeeldeBelastingklasse
260	NEN8701 (toegestane belasting is 25% lager dan de Eurocode)	4	ConstructieOrigineleBelastingklasse
261	Niet van toepassing	4	DuikerFrequentieUitspuiten
262	Noodoverstortput	3	RioolputVerschijningsvorm
263	Nooduitlaat	3	UitlaatconstructieVerschijningsvorm
264	Olie-/benzineafvangput	3	AansluitputVerschijningsvorm
265	Onbekend	4	DoorlaatVorm
266	Onbekend	4	FysiekObjectVerbindingstype
267	Onbekend	3	AfsluiteraandrijvingTypeBediening
268	Onbekend	4	ConstructieOrigineleBelastingklasse
269	Onbekend	4	DekselVorm
270	Onbekend	4	StuwmuurVorm
271	Onbekend	4	DuikerFrequentieUitspuiten
272	Onbekend	4	CompartimentVorm
273	Onderbemaling	3	RioolstelselVerschijningsvorm
274	Onderbemalingsgebied	3	WaterbeheergebiedVerschijningsvorm
275	Onderdeeloriëntatie	3	RioleringLinkVerschijningsvorm
276	Onderheid	3	FunderingVerschijningsvorm
277	Onderheid stuit	3	FunderingVerschijningsvorm
278	Ongebonden fundering	3	FunderingVerschijningsvorm
279	Ontluchtingsventiel	3	OntspanningsventielVerschijningsvorm
280	Ontstoppingsput	3	AansluitputVerschijningsvorm
281	Onttrekking voor menselijke consumptie	3	WaterbeheergebiedVerschijningsvorm
282	Op staal	3	FunderingVerschijningsvorm
283	Open	3	MechanischeAfsluiterAfsluiterstand
284	Open waaier	3	PompTypeWaaier
285	Opgespoten lining	3	LiningVerschijningsvorm
286	Oppervlaktewatergemaal	3	GemaalVerschijningsvorm
287	Opvoergemaal	3	GemaalVerschijningsvorm
288	Ovaal	4	StuwmuurVorm
289	Ovaal	4	DoorlaatVorm
290	Ovaal	4	DekselVorm
