DID	D	Informatiemodel	Enumeratie
129	First flush gemaal	3	GemaalVerschijningsvorm
130	Flensverbinding	3	FysiekObjectVerbindingstype
131	Foutaansluiting	3	RioolaansluitingVerschijningsvorm
132	Frequentie-omvormer	3	ElektronischComponentVerschijningsvorm
133	Fundatieplaat	3	FunderingVerschijningsvorm
134	Gebiedsoriëntatie	3	RepresentatieFysiekObjectVerschijningsvorm
135	Gebonden fundering	3	FunderingVerschijningsvorm
136	Gecombineerde straat-trottoirkolk	3	KolkVerschijningsvorm
137	Gedeeltelijk onderheid	3	FunderingVerschijningsvorm
138	Geen stroming, gesloten	3	ConstructieonderdeelStromingsrichting
139	Geen stroming, gesloten	3	ConstructieonderdeelStromingsrichting
