VakdisciplineObjecttypeID	IMBORGUID	Vakdiscipline	Objecttype	Wijzigingsdatum
1288	3f9af4c7-d68d-4613-8fc5-97453712c170	14399	16751	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1289	6b0ec33c-8088-4fb4-8509-ff7b88082f5a	14407	16753	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1290	dc26e159-b013-40c4-9e8d-76c2b4b560f8	14407	16754	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1291	491f6dfb-7bb1-4dea-95ad-6717d53e85e6	14398	9387	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1292	d3eb8b02-dec6-4d6b-943a-28db403f6f9a	14398	16767	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1293	78041a3c-14d1-445a-ba75-186a083ca289	14396	16775	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1294	14abc428-1623-425c-a2af-d3d62c6d3df0	14396	16776	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1295	042af11a-d1e0-4447-84d9-66276f3cd53a	14403	16854	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1296	977335da-c6fd-420c-8603-3adc2e81e582	14404	16854	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1297	8b82b030-792d-4b05-99b0-4a3e356ed9b2	14405	16854	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1298	987d465e-86ba-4280-a5df-b19357af59ae	14597	16864	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1299	037e7831-b97b-465d-abd5-4219eacce235	14597	16863	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1300	5f6cfec1-ac67-4388-bbcb-b660989fd34f	14597	16862	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1301	c6307860-d76b-4b28-8b9e-a86817f9364f	14597	16861	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1302	87ee793a-629d-461a-84df-1c56d0c7d20c	14597	16860	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1303	b9a674e7-a284-4613-808b-c743e0195df2	14597	16871	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1304	b1cbaf1c-09c5-475c-962b-be0cb08b276e	14597	16870	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1305	f61d7117-6727-48e0-9063-b373b6aee12e	14597	16868	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1306	6d53d4db-569d-4584-8720-d54968014a13	14597	16867	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1307	7fd9903c-1cc2-4cde-a4f4-c1537a010231	14597	14933	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1308	02c66f0a-8482-45cc-8ab8-140fff22bfc8	14403	16727	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1309	d40f53d5-f1bd-4a58-b55c-53e8c3a62371	14399	16618	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1310	0d3462ec-39aa-4922-bec5-084b8421d187	14407	10205	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
