CID	C
359	80A-aansluiting
360	3x40A
361	3x250A
362	160A-aansluiting
363	Vuurwerkklep
364	Inwerpopening
365	Afsluitklep
366	Glanshaverhooilanden met kenmerkende, aan rivieren gebonden soorten
367	Ruige glanshaverhooilanden
368	Zandblauwtje - Biggekruidberm
369	Vogelmuur-Herderstasje
370	Vlasbekje-Sint-janskruid
371	Soortenrijke oevervegetatie
372	Soortenarme oevervegetatie
373	Soortenarm grasland op zand
374	Ruigte zonder boomvormers
375	Zoomvegetatie
376	Dotterbloemhooiland (natte vorm)
377	Bloemrijk nat grasland
378	Bloemrijke glanshaverhooilanden
379	Bermen met Gladde witbol en Havikskruid
380	Bloemrijke glanshaverhooilanden, variant met stroomdalplanten
381	Bloemrijke natte ruigte
382	Dotterbloemhooiland (droge vorm)
383	Pimpernelhooiland
384	Heischraal grasland
385	Droge ruigte
386	Gemeenschap van Engels raaigras en Grote weegbree
387	Gemeenschap van Biggekruid en Moerasrolklaver
388	Glanshaverhooilanden op schrale bodem
389	Klaproos - Raket berm
390	Kamgrasweide
391	Kalkgrasland
392	H.1a
393	H.1b
394	H.2a
395	H.2b
396	H.2.1b
397	Strandreservaat
398	Veenmosrietland
399	Zomergoed
400	Zomer- en wintergoed.
401	Wintergoed
402	Tweejarige planten
403	Siergras
404	Prairiebeplanting
405	Bollen en knollen (niet in grasveld)
406	Bodembedekkende vaste planten
407	Zeeuwse haag
408	Losse haag
409	Geschoren haag
410	ZOAB
411	Steenmastiekasfalt
412	Slemlaag
413	Printasfalt
414	Penetratieasfalt
415	Koudasfalt
416	Grindasfaltbeton
417	Emulsie-asfaltbeton
418	Dunne geluidsreducerende deklaag
419	Combinatie deklaag
420	Asfaltbeton dunne laag
421	Asfaltbeton
422	Ongewapend verdeuveld beton
423	Ongewapend nietverdeuveld beton
424	Valdempend kunstgras
425	Rubberen plaat
426	Rubberen mat
427	Rubber gietvloer
428	Kunstgras water
429	Kunstgras semi-water
430	Hybride kunstgras
431	Gesmeerde rubberschorsvloer
432	Gesmeerde insitu rubbervloer
433	Doorlopende synthetische oppervlakteafwerking
434	Steenslag
435	Rubbersnippers
436	Mijnsteen
437	Leemdek
438	Grindgazon
439	Leemgranulaatmix
440	Bewerkte houtsnippers
441	Houtsnippers
442	Schelpen
443	Puin
444	Grind
445	Gravel
446	Boomschors
447	Zandsteen
448	Rubbertegel
449	Rubber grastegel
450	Natuursteentegel
451	Leisteen
452	Kei
453	Inritblok
454	Hardsteen
455	Grindtegel
456	Gras- en grindtegel
457	Drempelblok
458	Blindengeleidetegel
459	Betontegel
460	Basaltblok
461	Mulchlaag
462	Wisselperken in plantenbak
463	Vaste planten in plantenbak
464	Heesterrozen in plantenbak
465	Grove sierheester in plantenbak
466	Fijne sierheester in plantenbak
467	Cultuurrozen in plantenbak
468	Botanische rozen in plantenbak
469	Bodembedekkende vaste planten in plantenbak
470	Voorrangskruispunt: met middenberm
471	Voorrangskruispunt: met aparte uitvoegstrook
472	Partiële turborotonde: 4-taks
473	Partiële turborotonde: 3-taks
