LoggingGUID	VocabulairGUID	IMBORGUID	GitHub-issueID	Omschrijving	Terugkoppeling	Loggingsdatum	Status	Aard aanpassing	Collectie
2286b6f6-f8d5-44ea-b455-ad98204a51be	N.v.t.	{3523B502-DF0D-4AFD-B4CF-8BD29B193C1F}	991	IMGeo-IMBOR mapping vocabulaire scheiden van klassen en attributen	Groenobject_bgt fysiek voorkomen verwijderd uit imborKern_K_KlassenAttributen	Mon Jan 23 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Vervallen	Attribuut vervallen bij klasse	Attribuut
2289172a-7f23-448c-a19c-b5cecc4c6393	N.v.t.	{0070381F-3800-4737-9C98-F4BDAB5CB60B}	1092	De Eenheid 'Integer' is niet juist	Eenheid integer is komen te vervallen in imborKern_K_KlassenAttributen. Combinatie van klasse en attribuut is in eenheid aangepast.	Mon Mar 27 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Eenheid gewijzigd	Eenheid
22a57787-81d5-480a-8ac1-5b4f838b1e89	N.v.t.	{E37A9710-4084-483C-9A7E-798965E756A8}	673	Rotterdam | review CROW IMBOR | 2	BandAfmeting :: 130x150x140 is toegevoegd aan BandAfmeting in imborKern_EnumeratiesDomeinwaarden	Thu Jan 26 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Domeinwaarde toegevoegd	Domeinwaarde
22acd2db-101b-4a76-b748-6c8228a84be2	{3E548C4B-DEDC-455C-A0C0-B6C3DA374387}	{EF3530F2-4A06-4395-B4E6-B8842B6A6A5E}	884	Analyse term niet gebruiken in definitie van term: categorie 1	De definitie van:debiteur; is aangepast van: "De naam van de debiteur.", naar: "De naam van de partij die voor de afname geld verschuldigd is."	Fri May 05 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Definitie gewijzigd	Attribuut
22af405f-2729-49d6-9dbf-6084d843c3f7	{CBA34976-EA1C-4A8E-A05B-2825F5043DE4}	{41573DEC-74B9-4CCE-9409-4CFFF0742971}	884	Analyse term niet gebruiken in definitie van term: categorie 1	De definitie van:Hole; is aangepast van: "Stuk golfbaan tussen tee en hole(green).", naar: "Stuk golfbaan tussen tee en de green rondom de cup."	Fri May 05 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Definitie gewijzigd	Domeinwaarde
22b98efc-4e93-4652-9e26-f68a16672af4	N.v.t.	{8B4241A2-C7FA-489A-80BE-5C56841867BC}	997	NEN3610 netwerk model toepassen voor topologie	In refModel_Mapping Topologisch element-Edge-Deellineroriëntatie gewijzigd naar RioleringLink: type: Deellineroriëntatie 	Fri Mar 31 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Mapping gewijzigd	Objecttype
22cc957d-cf58-4b04-8187-8aa3e0b47cbc	{212F2BD0-E2A4-4C2B-8E79-A9C636315567}	{394D9043-F4FA-4F58-9D0E-41167E87FB7D}	884	Analyse term niet gebruiken in definitie van term: categorie 1	De definitie van:SpeelterreinLeeftijdDoelgroep; is aangepast van: "Het enumeratietype SpeelterreinLeeftijdDoelgroep is de naam voor de domeinwaardenlijst van de klasse Speelterrein en het attribuut leeftijd doelgroep.", naar: "Het enumeratietype voor de d	Fri May 05 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Definitie gewijzigd	Enumeratietype
22cca844-bc59-436c-9b87-a286ad5affed	N.v.t.	{4FC67823-C53C-4E6D-83F9-D380D5FC4A3C}	Consistentie1	Komen alle objecttypes voor in een vakdiscipline? Toevoegingen	Meubilair: Plantaarn toegevoegd in imborKern_K_VakdisciplinesObjecttypen	Fri Mar 24 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Objecttype toegevoegd aan vakdiscipline	Objecttype
22dd0d70-9807-4c3a-9b52-9c840fff27a9	N.v.t.	{C912EFE6-DF99-4586-97BE-A431CE500964}	673	Rotterdam | review CROW IMBOR | 2	BandAfmeting :: 1000x200 is toegevoegd aan BandAfmeting in imborKern_EnumeratiesDomeinwaarden	Thu Jan 26 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Domeinwaarde toegevoegd	Domeinwaarde
22ffad9e-2cbb-4e0f-aca6-606d66364009	N.v.t.	{A09AA3CB-0ED8-45EA-9853-A234D0C41426}	1101	
Afleidbare attributen zo veel mogelijk consistent uit IMBOR verwijderen	Nederlandse aansluitende zone :: heeft deel :: Functionele ruimte is toegevoegd aan imborKern_K_ObjecttypenSemantischeRelaties	Fri May 19 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Semantische relatie toegevoegd	Semantische relatie
231a11ff-fefb-4b27-b07d-345f775162ed	N.v.t.	{C82196F2-DD35-48C0-8CB9-8D6540CBD2F1}	1149	UNAFACT: Armoede van FloraEnFauna-InformatieBeschermdeFloraEnFaunaGedetailleerd	Bosbeekjuffer is toegevoegd aan FloraEnFauna-InformatieBeschermdeFloraEnFaunaGedetailleerd in imborKern_EnumeratiesDomeinwaarden	Wed May 10 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Domeinwaarde toegevoegd	Domeinwaarde
2340d4e0-367f-41f4-8d4c-0df0b03dbdca	{7711FC66-411D-4E3A-99BB-3D0383CB7F8A}	{F82B0468-71DD-4152-A743-4EED1E0BFBEC}	884	Analyse term niet gebruiken in definitie van term: categorie 1	De definitie van:Transportstelsel; is aangepast van: "Transportstelsel.", naar: "Voorzieningen voor het transport van afvalwater."	Fri May 05 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Definitie gewijzigd	Objecttype
23449049-9837-4278-9b09-d93b5bce2496	N.v.t.	{558076F8-4B29-4433-8FCF-14DCAB9355F1}	991	IMGeo-IMBOR mapping vocabulaire scheiden van klassen en attributen	Onbepaald terrein_bgt fysiek voorkomen verwijderd uit imborKern_K_KlassenAttributen	Mon Jan 23 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Vervallen	Attribuut vervallen bij klasse	Attribuut
