ABID	A	B
733	Teemarker	Straatmeubilair
734	Tekstmarkering	Wegmarkering
735	Telecomkast	Kast
736	Telefooncel	Straatmeubilair
737	Telkast	Kast
738	Telpaal	Installatie
739	Terras	Beheerzone
740	Terreinriolering	Stelsel
741	Terugslagklep	Constructieonderdeel
742	Thermische pijpleiding	Holle leiding
743	Tiny forest	Groenobject
744	Toegangshekinstallatie	Installatie
745	Toegangspad	Verkeerskundige zone
746	Toegangstrap	Gebouwcomponent
747	Toeritdoseerinstallatie	Installatie
748	Toiletvoorziening	Straatmeubilair
749	Tolplaats	Verkeerskundige zone
750	Tracé	Ecologische zone
751	Trailerhelling	Wegzone
752	Trambaan	Verkeerskundige zone
753	Tramheuvel	Verkeerskundige zone
754	Transferium	Verkeerskundige zone
755	Transportrioolleiding	Stelsel
756	Transportsysteem	Systeem
757	Trap	Gebouwcomponent
758	Trekput	Put
759	Tribune	Bouwwerk
760	Trottoirkolk	Put
761	T-stuk	Constructieonderdeel
762	Tubelure	Constructieonderdeel
763	Tunnel	Ondertunneling
764	Tunnelbak	Kunstwerk
765	Tunnelbuis	Kunstwerk
766	Tunnelgang	Kunstwerk
767	Tunnelgemaal	Gemaal
768	Tunnelsegment	Verkeerskundige zone
769	Tunnelventilatie	Installatie
770	Tunnelwand	Kunstwerk
771	Tussengemaal	Gemaal
772	Tuunwal	Vegetatieobject
773	TV-toren	Mast
774	Uiterwaard	Waterbeheerzone
775	Uithouder	Constructieonderdeel
776	Uitkijkpunt	Recreatiezone
777	Uitkijktoren	Bouwwerk
778	Uitklimvoorziening	Faunavoorziening
779	Uitlegger	Stedelijk waterleiding
780	Uitstroombak	Kunstwerk
781	Uitstroomband	Weginrichtingsobject
782	Uitstroomvoorziening	Weginrichtingsobject
783	Urnengraf	Straatmeubilair
784	Urnenmuur	Straatmeubilair
785	Urnennis	Straatmeubilair
786	Utiliteitsnet	Functioneel ondergronds object
787	Vaarweg	Gebruikszone water
