MappingID	MappingGUID	Objecttype	Attribuut1	Domeinwaarde1	Attribuut2	Domeinwaarde2	Attribuut3	Domeinwaarde3	RelatieInformatie	refInformatiemodel	refObjecttype	refAttribuut1	refDomeinwaarde1	refAttribuut2	refDomeinwaarde2	refAttribuut3	refDomeinwaarde3	Toelichting	Wijzigingsdatum
62	985d6b2e-5a33-43e9-8497-fb4e929703a8	55	null	null	null	null	null	null	14786	5	9	22	98	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
63	dab00432-e1ed-49c9-9799-b081186ad70d	56	null	null	null	null	null	null	14786	5	25	31	99	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
65	a04c2186-2327-46f4-968b-982aa382b4c2	57	null	null	null	null	null	null	14786	5	26	31	101	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
66	d77859b2-0e30-4c8c-ac3a-45607d57f3da	58	null	null	null	null	null	null	14786	5	5	22	102	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
67	28e34133-1260-4cad-ae12-5d37940d5674	59	375	9555	null	null	null	null	14786	5	26	31	104	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
68	8d6424bd-68f6-49c2-af19-0fe6f20d898c	59	null	null	null	null	null	null	14786	5	26	22	105	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
69	8eedaf73-f557-4e82-8fa9-a5525fc7b755	59	375	9324	null	null	null	null	14786	5	26	31	221	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
70	5a2c443f-94a7-4542-bc03-867b3001fd0e	59	375	9323	null	null	null	null	14786	5	26	31	376	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
71	949fb133-9f11-4047-8d38-c7088bb5535e	60	null	null	null	null	null	null	14786	5	21	22	107	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
72	b30550c6-9c5e-4c02-8cfd-8f9dac9321f1	61	null	null	null	null	null	null	14786	5	23	22	108	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
73	9c31d76b-295f-4489-83d7-fae30888d9c9	62	null	null	null	null	null	null	14786	5	28	22	109	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
74	4e519ae7-687e-4d04-b751-5ee5824dd0c9	63	null	null	null	null	null	null	14786	5	976	22	112	null	null	null	null	null	Thu Jan 18 2024 00:00:00 GMT+0000 (Coordinated Universal Time)
75	27fdffbf-7f00-4ddf-ba4b-f359cfaa2b04	64	null	null	null	null	null	null	14786	5	23	31	113	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
76	6c75c38e-a6a9-4832-8090-48e6c19124a1	65	null	null	null	null	null	null	14786	5	32	22	114	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
78	c7d0f97f-cb12-4c4c-b2aa-13f43326095d	66	null	null	null	null	null	null	14786	5	30	22	116	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
79	c425024b-43b3-49fb-b4f5-14a2f3735a8f	67	null	null	null	null	null	null	14786	5	2	31	117	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
80	bfb8a896-4701-4b10-87ea-ea7ada422d94	68	null	null	null	null	null	null	14786	5	9	22	118	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
81	4f72a58e-9bd6-44a0-af6b-14839e420028	69	null	null	null	null	null	null	14786	5	28	22	119	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
82	b8e31565-9820-4de6-b4aa-2b0fd82414fb	70	null	null	null	null	null	null	14786	5	7	22	120	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
83	d8aa6de3-fef2-4ecf-a4e4-55c65becfaea	71	null	null	null	null	null	null	14786	5	26	22	122	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
85	30dcbc45-835b-4428-9ea9-227f881a8f56	73	null	null	null	null	null	null	14786	5	9	31	124	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
86	aef5820a-8780-40a6-9eea-c7220d80bdf8	74	null	null	null	null	null	null	14786	5	17	1	130	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
87	ce592acf-e19f-4b57-8878-f2fcea4276db	75	null	null	null	null	null	null	14786	5	976	22	131	null	null	null	null	null	Thu Jan 18 2024 00:00:00 GMT+0000 (Coordinated Universal Time)
88	c39b6fa7-f06f-43fd-b693-659ac7c85620	76	null	null	null	null	null	null	14786	5	23	22	135	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
