Parent;Child
Vertex;Beginpunt leiding
Vertex;Beginpunt onderdeel
Complex;Begraafplaats
Functie;Begrazen
Reëel object;Begroeiing
DiscreetObject;Begroeiing
Rol;Beheerder
Beheerzone;Beheergebied
Beheerzone;Beheervak
Functionele zonering;Beheerzone
Speeltoestel;Behendigheidstoestel
Functie;Beheren van parkeerplaatsen
Constructieonderdeel;Bekabeling
Vispassage;Bekkentrap
Beheerzone;Belangenstrook
Waterinrichtingsobject;Bellenscherm
Functie;Beluchten leiding
Functie;Beluchten mechanische leiding
Functie;Beluchten of ventileren
Functie;Beluchten vrijverval leiding
Constructieonderdeel;Beluchter
Weginrichtingsobject;Beluchtingsrooster
Ontspanningsventiel;Beluchtingsventiel
Functie;Bemalen van hoogwater
Waterbeheergebied;Bemalingsgebied
Transportrioolleiding;Benedenstrooms eindriool
Registratieve ruimte;Benoemde plaats
Overig materiaal;Bentoniet
Put;Benzine- of olieput
Functie;Beperken debiet
Functie;Beperken van erosie
Functie;Beperken van geluidshinder
Put;Beregeningsbron
Installatie;Beregeningsinstallatie
Kast;Beregeningskast
Holle leiding;Beregeningsleiding
Markeringspaal;Beregeningsleidinglocatiepaal
Pomp;Beregeningspomp
Put;Beregeningsput
InformatieObject;Bereikbaarheid-informatie
Reservoir;Bergbezinkbassin
Vrijverval rioolleiding;Bergbezinkleiding
Functie;Bergen van water
Reservoir;Bergingsbassin
Vrijverval rioolleiding;Bergingsleiding
Composiet;Bermgras/hennep met Bio-composite (Biobased)
Herdenkingsmonument;Bermmonument
Functie;Beschaduwen
Waterbeheergebied;Beschermd gebied
Functie;Beschermen tegen aanrijdingen
Functie;Beschermen tegen vallen
Constructieonderdeel;Bescherming
Waterstaatkundig kunstwerk;Beschoeiing
Registratieve ruimte;Bestemmingsplangrens
Kast;Besturingskast
Straatmeubilair;Betaalautomaat
Materie;Beton
Beton;Beton met stalen kern
Granulaat;Betongranulaat
Beton;Betonnen segment
Waterinrichtingsobject;Betonning
Beton;Betonsteen
Beton;Betonstraatsteen
Tegel;Betontegel
Verharding;Betonverharding
Zand;Betonzand
Straatmeubilair;Beugel
Functie;Beveiligen
Camera;Beveiligingscamera
Overbrugging;Beweegbare brug
Sensor;Bewegingssensor
Bord;Bewegwijzeringsbord
Paal;Bewegwijzeringsmast
Functie;Bewonen
Reservoir;Bezinkbassin
Functie;Bezinken stoffen
Holle leiding;Bierleiding
Functie;Bij calamiteit afvalwater afvoeren
Faunaverblijfplaats;Bijenhotel
Faunaverblijfplaats;Bijenkast
Faunaverblijfplaats;Bijenwand
Putdeksel;Bijzonder putdeksel
Paal;Bijzondere mast
Rioolput;Bijzondere putconstructie
