Parent;Child
Greppel;Infiltratiegreppel
Kolk;Infiltratiekolk
Constructieonderdeel;Infiltratiekrat
Put;Infiltratieput
Reservoir;Infiltratiereservoir
Vrijverval rioolleiding;Infiltratieriool
Rioolstelsel;Infiltratiestelsel
Bord;Informatiebord
Object;InformatieObject
Bord;Informatiepaneel
Straatmeubilair;Informatiezuil
Geografische ruimte;Infrastructuur water
Geografische ruimte;Infrastructuur wegen
Textiel;Ingestrooid tapijt
Functie;Injecteren van lucht
Vertex;Injectiepunt
Put;Injectieput
Beheerzone;Inlaag
Constructieonderdeel;Inlaat
Beheerzone;Inlaatplaats
Sluis;Inlaatsluis
Stuw;Inlaatstuw
Functie;Inlaten van oppervlaktewater
Sluis;Innundatiesluis
Verkeerskundige zone;Inrit
Faunaverblijfplaats;Insectenhotel
Rioolput;Inspectieput
Faunameubilair;Insprong
Rol;Installateur
Constructie;Installatie
InformatieObject;Installatie-informatie
Weginrichtingsobject;Instroomvoorziening
Informatiepaneel;Intelligent waarschuwingspaneel
Overstortconstructie;Interne overstortconstructie
Overstortput;Interne overstortput
Armatuur;Invlieglicht
InformatieObject;Inwinning-informatie
Rol;Inzamelaar
Functie;Inzamelen en kortstondig opslaan afvalwater
Functie;Inzamelen hemelwater en afgifte aan ondergrond
Functie;Inzameling van afvalwater
Functie;Inzameling van grondwater
Functie;Inzameling van hemelwater
Functie;Inzameling van hemelwater en vuilwater
Functie;Inzameling van vuilwater
Materie;Isolatiemateriaal
Sportveld;Jeu de Boulesbaan
Speelterrein;Jongeren ontmoetingsplek
Virtuele ruimte;Juridische ruimte
Sensor;Kaartlezer
Sportterrein;Kaatsstadion
Sportveld;Kaatsveld
Leiding;Kabel
Armatuur;Kabelarmatuur
Speeltoestel;Kabelbaan
Kabel;Kabelbundel
Constructieonderdeel;Kabeldraagsysteem
Functioneel ondergronds object;Kabelgeul
Representatie fysiek object;Kabeloriëntatie
Constructieonderdeel;Kabelrol
Bord;Kabels- en leidingenbord
Functioneel ondergronds object;Kabeltracé
Functioneel ondergronds object;Kabelwenstracé
Verkeerskundige zone;Kade
Waterstaatkundig kunstwerk;Kademuur
Natuursteen;Kalksteen
Watergang;Kanaal
Gebouw;Kantoorgebouw
Scheiding;Kantplank
Gebouw;Kapel
Beheerzone;Karreveld
Overig materiaal;Karton
Gebouw;Kas
Natuursteen;Kasseien
Constructie;Kast
Gebouw;Kasteel
Constructieonderdeel;Kastombouw
Straatmeubilair;Kathodische beschermingspaal
Gebouw;Kazerne
Muur;Keermuur
Sluis;Keersluis
Armatuur;Kegelarmatuur
Grind;Kei
Bouwwerk;Kelder
Materie;Keramiek
Functie;Keren van grond
Functie;Keren van schepen via zwaaiplaats
Functie;Keren van water
Functie;Keren verkeer
Functionele zonering;Kering
Gebouw;Kerkgebouw
Installatie;Kerkklok
Ecologische zone;Kerngebied
Fundering;Kespenfundering
Fundering;Ketelzand fundering
Constructieonderdeel;Ketting
Vegetatieobject;Keverbank
Beton;Kiezelbeton
Speelterrein;Kinderbeweegtuin
Recreatiezone;Kinderboerderij
Gebouw;Kiosk
Kunstwerk;Kistdam
Overig materiaal;Kit
Speelterrein;Klauterparcours
Gebouw;Kleedgebouw
Grond;Klei
Overig materiaal;Kleischelpen
Stuw;Klepstuw
Constructieonderdeel;Klimijzer
Vegetatieobject;Klimplant
Speeltoestel;Klimtoestel
Bord;Klok
Gebouw;Klokkentoren
Gebouw;Klooster
Sportveld;Klootschietbaan
Muur;Kluismuur
Constructieonderdeel;Knevelvoorziening
Stuw;Knijpstuw
Vertex;Knooppunt
Armatuur;Kofferarmatuur
Vezels;Kokosvezels
Put;Kolk
Aansluiting;Kolkaansluiting
Aansluitleiding;Kolkaansluitleiding
Registratieve ruimte;Komgrens
Holle leiding;Kooldioxideleiding
Vezels;Koolstof
Metaal;Koper
Natuursteen;Koperslak
Sporttoestel;Korfbalpaal
Sportveld;Korfbalveld
Put;Koudebronput
Markeringspaal;Koudenetlocatiepaal
Faunaverblijfplaats;Kraamverblijf
Verkeerskundige zone;Kraanbaan
Spooras;Kraanspoor
Rivier;Kreek
Waterstaatkundig kunstwerk;Krib
Rioolput;Kruisingsput
Verkeerskundige zone;Kruispunt
Verbindingsstuk;Kruisstuk
Rol;Kunstenaar
Materie;Kunstgras
Straatmeubilair;Kunstobject
Materie;Kunststof
Kunststof;Kunststof HDPE
Kunststof;Kunststof met coating
Verharding;Kunststofverharding
Constructie;Kunstwerk
Constructie;Kunstwerkdeel
Overig materiaal;Kurk
Beheerzone;Kwaliteitsniveau
Meetinstrument;Kwaliteitssensor
Natuursteen;Kwartsiet
Rol;Kweker
Getijdengebied;Kwelder
Scheiding;Kwelscherm
Waterbeheergebied;Kwetsbaar gebied
Straatmeubilair;Laadbrug
Gebouwcomponent;Laadperron
Verkeerskundige zone;Laadplein
Installatie;Laadportaal
Installatie;Laadpunt
Elektriciteitskast;Laadverdeelkast
Voedingskabel;Laagspanningskabel
Paal;Laagspanningsmast
Functie;Laden en lossen
Constructieonderdeel;Lamellenafscheider
Constructieonderdeel;Lanceerpunt
Functie;Lanceren van een pig
Kunstwerkdeel;Landhoofd
Geografische ruimte;Landschappelijk gebied
Kast;Laskast
Functie;Laten bezinken
Infiltratiereservoir;Lavakoffer
Natuursteen;Lavasteen
Slak;LD-staalslakmengsel
Constructieonderdeel;Ledigingsvoorziening
Lichtbron;Ledlamp
Grond;Leem
Constructie;Leiding
Functie;Leiding gescheiden laten kruisen
Functie;Leidingaansluiting verstevigen
Bouwwerk;Leidingbrug
Functie;Leidingen aansluiten
Functie;Leidingen over een object geleiden
Inlaat;Leidinginlaat
Constructieonderdeel;Leidingomhulling
Verbinding;Leidingoriëntatie
Hulpobject;Leidingprofiel
Mechanische transportleiding;Leidingsegment
Bitumen;Leislag
Natuursteen;Leisteen
Straatmeubilair;Leuning
Registratie;Levensduur
Rol;Leverancier
Waterinrichtingsobject;Lichtbaken
Apparaat;Lichtbron
Constructieonderdeel;Lichtkoker
Informatiepaneel;Lichtkrant
Paal;Lichtmast
Kunstwerk;Lichtopstand
Sensor;Lichtsensor
Apparaat;Lichtsturing
Installatie;Lift
Registratieve ruimte;Ligplaats
Ligplaats;Ligplaats gevaarlijke lading
Beheerzone;Ligplaatsstrook
Goot;Lijngoot
Markering;Lijnmarkering
Armatuur;Lijnverlichting
Constructieonderdeel;Lining
Overig materiaal;Linoleum
Gebouw;Lokethuisje
Gebouw;Loods
Bos;Loofbos
Gebouwcomponent;Loopbrug
Gebouwcomponent;Loopdek
Faunameubilair;Loopplank
Apparaat;LoRaWAN-gateway
Verkeerskundige zone;Loswal
Holle leiding;Loze leiding
Put;Loze put
Functie;Lozen afvalwater
Functie;Lozen binnen het stelsel
Functie;Lozen buiten het stelsel
Aansluitpunt;Lozingspunt
Lozingspunt;Lozingspunt bodem
Lozingspunt;Lozingspunt oppervlaktewater
Rioolput;Lozingsput
Rol;Lozingsvergunninghouder
Vulpunt;LPG-vulpunt
Functie;Lucht en water zuiveren
Functie;Lucht in mechanische leiding regelen
Luchtvaartruimte;Luchthaven
Weg;Luchthavenweg
Apparaat;Luchtinjectie-unit
Sensor;Luchtkwaliteitssensor
Rioolgemaal;Luchtpersgemaal
Mechanische rioolleiding;Luchtpersleiding
Mechanisch rioolstelsel;Luchtpersriolering
Scheiding;Luchtscherm
Verkeerruimte;Luchtvaartruimte
Apparaat;Luidspreker
Gebouwcomponent;Luifel
Afdekking;Luik
Zand;M3C zand
Vertex;Maaiveldoriëntatie
Geografische ruimte;Maatschappelijke en/of publieksvoorziening
Beton;Mager beton
Constructieonderdeel;Mangat
Holle leiding;Mantelbuis
Rioolput;Mantoegankelijke put
Constructie;Markering
Materie;Markeringmateriaal
Straatmeubilair;Markeringspaal
Tegel;Markeringstegels
Beheerzone;Marktstandplaats
Kast;Marktstroomkast
Natuursteen;Marmer
Golfbaanvoorziening;Marshall-huisje
Faunaverblijfplaats;Marterhoop
Constructie;Mast
FysiekObject;Materie
Informatiepaneel;Matrixbord
Informatiepaneel;Matrixsignaalgever
Drainagestelsel;Mechanisch drainagestelsel
Rioolstelsel;Mechanisch rioolstelsel
Doorlaat;Mechanische afsluiter
Perceelaansluiting;Mechanische perceelaansluiting
Rioolleiding;Mechanische rioolleiding
Transportleiding;Mechanische transportleiding
Watervlakte;Meer
Markeringmateriaal;Meercomponenten koudplast profiel
Markeringmateriaal;Meercomponenten koudplast type I
Markeringmateriaal;Meercomponenten koudplast type II
Markeringmateriaal;Meercomponentenverf type I
Markeringmateriaal;Meercomponentenverf type II
Functie;Meerdere drainageleidingen aansluiten
Waterinrichtingsobject;Meerpaal
Waterinrichtingsobject;Meerstoel
Apparaat;Meetbuis
Systeem;Meetinrichting
Sensor;Meetinstrument
Vertex;Meetpunt
Stuw;Meetschot
Weginrichtingsobject;Meetspijker
Apparaat;Meetstation
Stuw;Meetstuw
Straatmeubilair;Meldpaal
InformatieObject;Memo
Granulaat;Menggranulaat
Metaal;Messing
Materie;Metaal
Functie;Meten (functie)
Functie;Meten capaciteit van de volumestroom
Functie;Meten grondwaterpeil
Functie;Meten hoeveelheid hemelwater
Functie;Meten kwaliteit van het afvalwater
Functie;Meten van afvalniveau
Functie;Meten van grondwaterstand
Functie;Meten van luchtkwaliteit
Functie;Meten van natuurkundige grootheid
Functie;Meten van neerslag
Functie;Meten van niveauwijziging
Functie;Meten van verkeersstromen
Functie;Meten van waterkwaliteit
Functie;Meten waterdruk
Functie;Meten waterstand
Functie;Meten, regelen, controleren en onderhouden
Verkeerskundige zone;Metrobaan
Spooras;Metrospoor
Overig materiaal;Metselwerk
Overig materiaal;Metselwerk (baksteen)
Overig materiaal;Metselwerk (bepleisterd)
Overig materiaal;Metselwerk (onbepleisterd)
Granulaat;Metselwerkgranulaat
Zand;Metselzand
Voedingskabel;Middenspanningskabel
Sportveld;Midgetgolfbaan
Natuursteen;Mijnsteen
Afvalscheidingslocatie;Milieupark
Afvalscheidingslocatie;Milieuperron
Publiekrechtelijk rechtspersoon;Ministerie
Waterinrichtingsobject;Mistbaken
Toiletvoorziening;Mobiel openbaar toilet
Kunstwerk;Mobiele waterkering
Verkeerskundige zone;Mobiliteitshub
InformatieObject;Modaliteit-informatie
Informatiebord;Modderbord
Speelterrein;Modelspoorbaan
Apparaat;Modem
Groenobject;Moeras
Verbindingsstuk;Mof
Gebouw;Molen
Goot;Molgoot
Meetpunt;Monsternamepunt
InformatieObject;Monument-informatie
Gebouw;Moskee
Faunavoorziening;Mosselbank
Informatiebord;Mottobord
Overig materiaal;Mozaïek
Geografische ruimte;Multifunctioneel gebied
Gebouw;Multigebouw
Scheiding;Muur
Gebouw;Muziektent
Bos;Naaldbos
Textiel;Naaldvilt
Armatuur;Naderingslicht
Compartiment;Natte pompkelder
Geografische ruimte;Natuurgebied
Biodivers materiaal;Natuurgras
Biodivers materiaal;Natuurgras/ongebonden mineraal
Groenobject;Natuurlijk grasland
Speeltoestel;Natuurlijk speeltoestel
Functie;Natuurlijk spelen
Functie;Natuurontwikkeling
Privaatrechtelijk rechtspersoon;Natuurorganisatie
Speelterrein;Natuurspeeltuin
Materie;Natuursteen
Natuursteen;Natuursteen gevlamd
Natuursteen;Natuursteenkei
Tegel;Natuursteentegel
Registratieve ruimte;Nederlandse aansluitende zone
Registratieve ruimte;Nederlandse continentaal plat
Registratieve ruimte;Nederlandse exclusieve economische zone
Registratieve ruimte;Nederlandse territoriale zee
Verkeerslicht;Negenoog
Faunaverblijfplaats;Nestkast
Faunaverblijfplaats;Nestplaats
Rol;Netbeheerder
Topologisch element;Netwerk
Edge;NetwerkLink
Vertex;NetwerkNode
Rol;Netwerkoperator
Overig materiaal;Nobre Cál
Gietijzer;Nodulair gietijzer
Externe overstortput;Noodoverstortput
Uitlaatconstructie;Nooduitlaat
Registratieve ruimte;Nummeraanduiding
Installatie;Nutsaansluiting
Overig materiaal;Nylon kous
Weginrichtingsobject;Obstakelbeveiliger
Sportveld;Oefenmuur
Oppervlaktewater;Oever of slootkant
Verkeerslicht;Oeverlicht
Waterbeheerzone;Oeverzone
Faunavoorziening;Oeverzwaluwwand
Constructieonderdeel;Olie-/benzineafscheider
Aansluitput;Olie-/benzineafvangput
Markeringspaal;Olielocatiepaal
Grind;Olivijn
Functie;Omgeven van deksel of kolk
Reëel object;Onbegroeid terreindeel
DiscreetObject;Onbegroeid terreindeel
Functie;Onbekende functie
Onbegroeid terreindeel;Onbepaald terrein
Vrijverval rioolstelsel;Onderbemaling
Waterbeheergebied;Onderbemalingsgebied
Verbinding;Onderdeeloriëntatie
Ondertunneling;Onderdoorgang
Straatmeubilair;Ondergrondse laadoplossing
InformatieObject;Onderhoud-informatie
Rol;Onderhoudsplichtige
Verkeerslicht;Onderlicht
Functie;Ondersteunen via de ondergrond
Kunstwerk;Ondertunneling
Functie;Onderwijzen
Overig materiaal;Ongebonden mineraal op kunststof
Overig materiaal;Ongebonden mineraal op kunststof, gebonden onderbouw
Put;Ontlastput
Constructieonderdeel;Ontlastvloer
Functie;Ontluchten mechanische leiding
Functie;Ontluchten van een leiding
Functie;Ontluchten van riolering
Constructieonderdeel;Ontluchter
Holle leiding;Ontluchtingsleiding
Constructieonderdeel;Ontluchtingsunit
Ontspanningsventiel;Ontluchtingsventiel
Constructieonderdeel;Ontspanningsventiel
Aansluitput;Ontstoppingsput
Constructieonderdeel;Ontstoppingsstuk
Put;Onttrekkingsput
Rol;Ontwerper
Verharding;Onverhard
Veiligheidsvoorziening;Oogdouche
Faunaverblijfplaats;Ooievaarsnest
Herdenkingsmonument;Oorlogsmonument
Rol;Opdrachtgever
Rol;Opdrachtnemer
Reservoir;Open berging
Bouwwerk;Open bouwwerk
Stedelijk waterleiding;Open leiding
Open bouwwerk;Open loods
Tunneldeel;Open tunnelbak
Hemelwaterstelsel;Openbaar hemelwaterstelsel
Drainagestelsel;Openbaar ontwateringsstelsel
Toiletvoorziening;Openbaar toilet
Vuilwaterstelsel;Openbaar vuilwaterstelsel
Registratieve ruimte;Openbare ruimtegrens
Geometrische representatie;Openbare ruimtelabel
Doorlaat;Opening in wand
InformatieObject;Opening kunstwerk
Bouwwerk;Openluchtzwembad
Constructieonderdeel;Ophangconstructie
Zand;Ophoogzand
Beheerzone;Opkuilhoek
Straatmeubilair;Oplaadpaal
Functie;Opladen en parkeren
InformatieObject;Oplever-informatie
Reëel object;Oppervlaktewater
Gemaal;Oppervlaktewatergemaal
Kunstwerk;Oppervlaktewaterinlaat
Systeem;Oppervlaktewatersysteem
Armatuur;Opschuifarmatuur
Functie;Opslaan van materialen
Functie;Opslag van oppervlaktewater
Bak;Opslagbak
Straatmeubilair;Opslagcontainer
Bak;Opslagtank
Functie;Opsluiten van verharding
Beheerzone;Opstelplaats
Functie;Opvang en afvoer hemelwater
Functie;Opvang hemelwater
Functie;Opvang van afstromend hemelwater
Functie;Opvangen axiale beweging
Functie;Opvangen horizontale verschuiving
Functie;Opvangen vuil
Put;Opvangput
Beheerzone;Opvangzone
Rioolgemaal;Opvoergemaal
Functie;Opwoelen en verzamelen van bezinksel
Constructieonderdeel;Opzetstuk
Speeltoestel;Oud vervoersmiddel
Functie;Overbruggen groot niveauverschil
Kunstwerk;Overbrugging
Verbindingsstuk;Overgangsstuk
Materie;Overig materiaal
Publiekrechtelijk rechtspersoon;Overige overheidsorganisatie
Open bouwwerk;Overkapping
Overbrugging;Overkluizing
Stuw;Overlaat
Aansluitpunt;Overnamepunt
Armatuur;Overrunrandlicht
Straatmeubilair;Overstap
Functie;Overstijgen van hoogteverschil
Constructieonderdeel;Overstortbemaling
Constructieonderdeel;Overstortconstructie
Wand;Overstortdrempel
Functie;Overstortgebeurtenis registreren
Vrijverval rioolleiding;Overstortleiding
Meetinstrument;Overstortmeter
Rioolput;Overstortput
Functie;Overtollig afvalwater laten wegstromen
Functie;Overtollig hemelwater infiltratievoorziening afvoeren
Spoorzone;Overweg
Kast;OVL-kast
Verkeerskundige zone;OV-voorziening
Verkeerskundige zone;P+R terrein
Paalconstructie;Paal
Constructie;Paalconstructie
Fundering;Paalfundering
Fundering;Paaljukfundering
Armatuur;Paaltoparmatuur
Sportveld;Paardenkraal
Faunaverblijfplaats;Paarverblijf
Straatmeubilair;Paddenstoel
Sportveld;Padeltennisbaan
Straatmeubilair;Pakketautomaat
Hek;Palen met planken
Speelterrein;Palenwoud
Hek;Palissade
Kunstwerkdeel;Paneel
Sportveld;Pannaveld
Vrijverval rioolleiding;Parallelriool
Recreatiezone;Park
Straatmeubilair;Parkeerautomaat
Sensor;Parkeerbeheersensor
Parkeermeubilair;Parkeerbeugel
Gebouwcomponent;Parkeerdek
Open bouwwerk;Parkeergarage
Straatmeubilair;Parkeermeubilair
Informatiepaneel;Parkeerroute-informatiesysteem
Verkeerskundige zone;Parkeersector
Verkeerskundige zone;Parkeerterrein
Verkeerskundige zone;Parkeervak
Informatiepaneel;Parkeerverwijssysteem
Functie;Parkeren
Weg;Particuliere weg
Meetinstrument;Peilbuis
Deksel;Peilbuisdeksel
Waterbeheergebied;Peilgebied
Beheerzone;Peilvak
Holle leiding;Pendelstuk
Registratieve ruimte;Perceel
Aansluiting;Perceelaansluiting
Aansluitleiding;Perceelaansluitleiding
Aansluitpunt;Perceelaansluitpunt
Functie;Perceelaansluitpunt met inlaat verbinden
Straatmeubilair;Pergola
Oppervlaktewater;Permanent water
Markeringmateriaal;Permanente markering type II
Gebouwcomponent;Perron
Mechanische transportleiding;Persleiding
Transportstelsel;Persleidingstelsel
Holle leiding;Persluchtleiding
Pomp;Persluchtpomp
Straatmeubilair;Picknicktafel
Verkeerslicht;Pictogramarmatuur
Installatie;Pigging-installatie
Informatiepaneel;Pijlbak
Kunstwerkdeel;Pijler
Beheerzone;Pingoruïne
Constructieonderdeel;Plaat
Staal;Plaatijzer
Geometrische representatie;Plaatsbepalingspunt
Armatuur;Plafondarmatuur
Waterinrichtingsobject;Plankier
Straatmeubilair;Plantaarn
Groenobject;Planten
Bak;Plantenbak
Ecologische zone;Plantensoortlocatie
Watervlakte;Plas
Vegetatieobject;Plasberm
Armatuur;Platformlicht
Elektronisch component;PLC
Kast;PLC-kast
Verkeerskundige zone;Plein
Kunststof;Plexiglas
Recreatiezone;Pocketpark
Zitelement;Poef
Watervlakte;Poel
Fundering;Poerenfundering
Waterbeheergebied;Poldergebied
Straatmeubilair;Poller
Verkeerslicht;Poller regellicht
Meldpaal;Pollermeldpaal
Kunststof;Polyester
Beton;Polyesterbeton
Kunststof;Polyetheen
Beton;Polymeerbeton
Kunststof;Polypropyleen
Kunststof;Polystyreen
Fundering;Polystyreen fundering
Kunststof;Polyurethaan
Installatie;Pomp
Informatiebord;Pompinformatiebord
Kast;Pompkast
Rioolput;Pompput
Rioolput;Pompunit
Waterstaatkundig kunstwerk;Ponton
Natuursteen;Porfier
Natuursteen;Porfier Albiano-Italië
Paalconstructie;Portaal
Registratieve ruimte;Postcodegebied
Kabel;Potentiaalkabel
Vezels;PP vezels
Actor;Privaatrechtelijk rechtspersoon
Drainagestelsel;Privédrainage
Put;Productieput
Hulpobject;Profiellijn
Geografische ruimte;Project
Weg;Provinciale weg
Publiekrechtelijk rechtspersoon;Provincie
Registratieve ruimte;Provinciegrens
Actor;Publiekrechtelijk rechtspersoon
Granulaat;Puingranulaat
Straatmeubilair;Punaise
Constructie;Put
Rioolput;Putbuis
Deksel;Putdeksel
Putdeksel;Putdeksel - licht verkeer
Putdeksel;Putdeksel - zwaar verkeer
Putdeksel;Putdeksel met instroomvoorziening
Knooppunt;Putoriëntatie
Compartiment;Putschacht
Kunststof;PVC
Kunstwerkdeel;Pyloon
Straatmeubilair;Raaipaal
Sensor;Radar
Detector;Radardetector
Mast;Radarmast
Beheerzone;Rak
Straatmeubilair;Rattenval
Registratieve ruimte;Rayon
Bord;Reclamebord
Straatmeubilair;Reclamezuil
Perceel;Recreatiebedrijf
Functie;Recreatief gebruik
Functie;Recreatief vissen in oppervlaktewater
Geografische ruimte;Recreatiegebied
Gebouw;Recreatiegebouw
Bebouwingskern;Recreatiekern
Functionele zonering;Recreatiezone
Veiligheidsvoorziening;Reddingsboei
Veiligheidsvoorziening;Reddingshaak
Veiligheidsvoorziening;Reddingslijn
Beheerzone;Reducering
Functie;Reducering van omgevingseffecten
ReëelObject;Reëel object
TechnischeEntiteit;Reëel object
Geo-object;Reëel object
FysiekObject;ReëelObject
Sensor;Referentiemicrofoon
Markeringmateriaal;Reflecterende wegenverf type I
Metaal;Refurbished aluminium
Functie;Regelen van het debiet om de bergingscapaciteit van het bovenstroomse rioolstelsel te benutten
Functie;Regeling van de afvoer van het afvalwater
Systeem;Regelinrichting
Meetinstrument;Regenmeter
Infiltratiereservoir;Regenwatertuin
InformatieObject;Registratie
Virtuele ruimte;Registratieve ruimte
Functie;Registreren van weggebruikers
Functie;Reinigen afvalwater
Inspectieput;Reinigende put
Informatiepaneel;Reistijdinformatiesysteem
Geografische ruimte;Reliëfzone
Functie;Remmen van verkeerssnelheid met fysieke middelen
Functie;Remmen van verkeerssnelheid met optische middelen
Waterinrichtingsobject;Remmingswerk
Constructieonderdeel;Reparatie
Topologisch element;Representatie fysiek object
Bouwwerk;Reservoir
Groenobject;Rietland
Fundering;Rietmatten
Verkeerskundige zone;Rijbaan
Registratieve ruimte;Rijk
Weg;Rijksweg
Verkeerslicht;Rijstrooklicht
Weginrichtingsobject;Rijstrookscheiding
Overig materiaal;Rijstvlies (Biobased)
Rol;Rioleringsbeheerder
Waterbeheergebied;Rioleringsgebied
Constructieonderdeel;Rioolafsluiter
Drainagestelsel;Riooldrainage
Rioolgemaal;Riooleindgemaal
Gemaal;Rioolgemaal
Holle leiding;Rioolleiding
Stedelijk waterleiding;Rioolleiding
Functie;Rioolleidingen aansluiten
Put;Rioolput
Rioolput;Rioolput met geleiding
Inlaat;Rioolputinlaat
Stelsel;Rioolstelsel
Representatie fysiek object;Rioolstreng
Holle leiding;Rioolwaterzuiveringsleiding
Waterbeheergebied;Risicogebied
Watergang;Rivier
Armatuur;Rolbaanlicht
Bak;Rolcontainer
Installatie;Roltrap
Gebouw;Roltrapgebouw
Zand;Rood zand (overig)
Zand;Rood zand (Provision)
Zand;Rood zand (Smashcourt)
Kunstgras;Roodzand kunstgras
Kunstgras;Roodzand kunstgras, gebonden onderbouw
Faunameubilair;Roofvogelpaal
Straatmeubilair;Rookpaal
Afdekking;Rooster
Lijngoot;Roostergoot
Functie;Rotatie omzetten naar translatie
Bord;Rotatiepaneel
Verkeerslicht;Rotondedoseerlicht
InformatieObject;Route-informatie
Straatmeubilair;Routepaal
Apparaat;Router
Straatmeubilair;Rozenboog
Systeem;RTC-sturing
Materie;Rubber
Tegel;Rubber grastegel
Tegel;Rubbertegel
Sportveld;Rugbyveld
Functioneel gebouwobject;Ruimte
FysiekObject;RuimtelijkGebied
Verkeerskundige zone;Ruiterpad
Staal;RVS
Kolk;RWS-kolk
Waterbeheergebied;RWSR-gebied
Bouwwerk;RWZI
Publiekrechtelijk rechtspersoon;Samenwerkingsorganisatie
Overig materiaal;Sandwich
Straatmeubilair;Schaak- en damtafel
Straatmeubilair;Schaaktafel
Waterbeheergebied;Schaarstegebied
Functie;Schaatsen op oppervlaktewater
Beheerzone;Schakelgebied
Geleideconstructie;Schampkant
Muur;Schanskorf
Bord;Scheepvaartbord
Verkeerruimte;Scheepvaartruimte
Verkeerslicht;Scheepvaartsein
Functie;Scheiden van percelen
Functie;Scheiden van terrein
Functie;Scheiden van verkeersstromen
Constructie;Scheiding
Beheerzone;Schietterrein
Armatuur;Schijnwerper
Wand;Schildmuur
Sportvoorziening;Schoenborstel
Speeltoestel;Schommel
Beheerzone;Schoolplein
Speelterrein;Schoolspeelplaats
Complex;Schoolterrein
Straatmeubilair;Schoolzonepaal
Sportvoorziening;Schoonloopmat
Sportvoorziening;Schoonlooprooster
Waterstaatkundig kunstwerk;Schot
Stuw;Schotbalkstuw
Verkeerskundige zone;Schouwpad
Beton;Schraal beton
Hek;Schrikdraad
Pomp;Schroefcentrifugaalpomp
Constructieonderdeel;Schroefpaal
Pomp;Schroefpomp
Mechanische afsluiter;Schuif
Stuw;Schuifstuw
Golfbaanvoorziening;Schuilhut
Beton;Schuimbeton
Bitumen;Schuimbitumenstabilisatie
Kunstwerkdeel;Schutkolk
Sluis;Schutsluis
Hek;Schutting
Gebouw;Schuur
Parkeermeubilair;Scootmobielberging
Informatiepaneel;Scorebord
Kunststof;Sealwise PVC
Stuw;Segmentstuw
Verkeerslicht;Seinlicht
Kunstgras;Semi-waterkunstgras
Kunstgras;Semi-zandkunstgras
Constructie;Sensor
Apparaat;Sensormodule
IBA;Septictank
Hek;Sierhek
Muur;Siermuur
Holle leiding;Sifon
Verkeerslicht;Signaallamp
Natuursteen;Silex
Installatie;Singelfontein
Apparaat;Sirene
Speelterrein;Skatepark
Sporttoestel;Skatevoorziening
Speelterrein;Skelter- en rodelbaan
Straatmeubilair;Slagboominstallatie
Hek;Slagplanken
Materie;Slak
Stankafsluiter;Slangsifon
Slibvanger;Slibafscheider
Constructieonderdeel;Slibvanger
Getijdengebied;Slik
Put;Slokop
Kunstwerkdeel;Sloof
Fundering;Sloofconstructie
Watergang;Sloot
Constructieonderdeel;Slot
Waterstaatkundig kunstwerk;Sluis
InformatieObject;Sluis doorvaart
Complex;Sluiscomplex
Kunstwerkdeel;Sluisdeur
Gebouw;Sluiswachterskantoor
Asfalt;SMA*
Asfalt;SMA-NL 11A
Asfalt;SMA-NL 11B
Asfalt;SMA-NL 5
Asfalt;SMA-NL 8A
Asfalt;SMA-NL 8G+
Overig materiaal;Smashcourt
Informatiepaneel;Smileybord
Verkeerskundige zone;Snellaadstation
Spooras;Sneltramspoor
Speeltoestel;Sociaal spel
Sportveld;Softbalveld
InformatieObject;Software
Weginrichtingsobject;Sokkel
Vegetatieobject;Solitaire plant
InformatieObject;Soortnaam-informatie
Meldpaal;SOS-paal
Watervlakte;Spaarbekken
Kabel;Spandraad
Paal;Spanmast
Sporttoestel;Speedladder
Recreatiezone;Speelheuvel
Speeltoestel;Speelhuis
Speelterrein;Speelkuil
Recreatiezone;Speelterrein
Straatmeubilair;Speeltoestel
Privaatrechtelijk rechtspersoon;Speeltuinvereniging
Zand;Speelzand
Hek;Spijlenhek
Afsluiteraandrijving;Spindel
Apparaat;Splitter
Gemaal;Spoelgemaal
Mechanische afsluiter;Spoelklep
Mechanische transportleiding;Spoelleiding
Constructieonderdeel;Spoelvoorziening
Edge;Spooras
Spoorzone;Spoorbaan
Spoorzone;Spoorberm
Waterstaatkundig kunstwerk;Spoorlijn
Verkeerruimte;Spoorverkeerruimte
Spoorverkeerruimte;Spoorwegknoop
Functionele zonering;Spoorzone
Informatiebord;Sport- en spelbord
Drainagestelsel;Sport- en speldrainage
Hek;Sportboarding
Sportterrein;Sportcentrum
Sporttoestel;Sportcombinatietoestel
InformatieObject;Sport-informatie
Sportveld;Sportkooi
Recreatiezone;Sportterrein
Straatmeubilair;Sporttoestel
Recreatiezone;Sportveld
Straatmeubilair;Sportvoorziening
Speeltoestel;Springtoestel
Installatie;Sproeikop
Constructieonderdeel;Spuikraan
Holle leiding;Spuileiding
Sluis;Spuisluis
Hek;Staafmathek
Materie;Staal
Staal;Staal gegalvaniseerd
Staal;Staal gepoedercoat
Slak;Staalslakmix
Bebouwingskern;Stadsdeelgrens
Informatiepaneel;Stadsplattegrond
Gebouw;Stadspodium
Gebouw;Stadspoort
Functioneel ondergronds object;Stadsverwarming
Holle leiding;Stadsverwarmingsleiding
Gebouw;Stal
Constructieonderdeel;Standmeter
Aansluitleiding;Standpijp
Registratieve ruimte;Standplaats
Constructieonderdeel;Stankafsluiter
Constructieonderdeel;Stankfilter
